snapshot_ts,pod_name,node_name,phase,start_time
1778929414,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929414,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929444,fusion-v2-workload-1,node4,Pending,2026-05-16T11:04:04Z
1778929444,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929444,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929444,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929474,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929474,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929474,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929474,mongo-workload-2,,Pending,
1778929474,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929504,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929504,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929504,fusion-workload-2,node3,Pending,2026-05-16T11:05:04Z
1778929504,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929504,mongo-workload-2,node4,Succeeded,2026-05-16T11:04:50Z
1778929504,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929504,postgre-workload-2,node3,Succeeded,2026-05-16T11:04:46Z
1778929534,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929534,fusion-v2-workload-2,node4,Succeeded,2026-05-16T11:05:22Z
1778929534,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929534,fusion-workload-2,node3,Succeeded,2026-05-16T11:05:04Z
1778929534,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929534,mongo-workload-2,node4,Succeeded,2026-05-16T11:04:50Z
1778929534,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929534,postgre-workload-2,node3,Succeeded,2026-05-16T11:04:46Z
1778929565,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929565,fusion-v2-workload-2,node4,Succeeded,2026-05-16T11:05:22Z
1778929565,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929565,fusion-workload-2,node3,Succeeded,2026-05-16T11:05:04Z
1778929565,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929565,mongo-workload-2,node4,Succeeded,2026-05-16T11:04:50Z
1778929565,mongo-workload-3,node4,Succeeded,2026-05-16T11:05:42Z
1778929565,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929565,postgre-workload-2,node3,Succeeded,2026-05-16T11:04:46Z
1778929565,postgre-workload-3,node4,Pending,2026-05-16T11:06:03Z
1778929595,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929595,fusion-v2-workload-2,node4,Succeeded,2026-05-16T11:05:22Z
1778929595,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929595,fusion-workload-2,node3,Succeeded,2026-05-16T11:05:04Z
1778929595,fusion-workload-3,node3,Succeeded,2026-05-16T11:06:22Z
1778929595,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929595,mongo-workload-2,node4,Succeeded,2026-05-16T11:04:50Z
1778929595,mongo-workload-3,node4,Succeeded,2026-05-16T11:05:42Z
1778929595,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929595,postgre-workload-2,node3,Succeeded,2026-05-16T11:04:46Z
1778929595,postgre-workload-3,node4,Succeeded,2026-05-16T11:06:03Z
1778929625,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929625,fusion-v2-workload-2,node4,Succeeded,2026-05-16T11:05:22Z
1778929625,fusion-v2-workload-3,node4,Succeeded,2026-05-16T11:06:41Z
1778929625,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929625,fusion-workload-2,node3,Succeeded,2026-05-16T11:05:04Z
1778929625,fusion-workload-3,node3,Succeeded,2026-05-16T11:06:22Z
1778929625,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929625,mongo-workload-2,node4,Succeeded,2026-05-16T11:04:50Z
1778929625,mongo-workload-3,node4,Succeeded,2026-05-16T11:05:42Z
1778929625,mongo-workload-4,node4,Running,2026-05-16T11:07:01Z
1778929625,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929625,postgre-workload-2,node3,Succeeded,2026-05-16T11:04:46Z
1778929625,postgre-workload-3,node4,Succeeded,2026-05-16T11:06:03Z
1778929655,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929655,fusion-v2-workload-2,node4,Succeeded,2026-05-16T11:05:22Z
1778929655,fusion-v2-workload-3,node4,Succeeded,2026-05-16T11:06:41Z
1778929655,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929655,fusion-workload-2,node3,Succeeded,2026-05-16T11:05:04Z
1778929655,fusion-workload-3,node3,Succeeded,2026-05-16T11:06:22Z
1778929655,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929655,mongo-workload-2,node4,Succeeded,2026-05-16T11:04:50Z
1778929655,mongo-workload-3,node4,Succeeded,2026-05-16T11:05:42Z
1778929655,mongo-workload-4,node4,Succeeded,2026-05-16T11:07:01Z
1778929655,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929655,postgre-workload-2,node3,Succeeded,2026-05-16T11:04:46Z
1778929655,postgre-workload-3,node4,Succeeded,2026-05-16T11:06:03Z
1778929655,postgre-workload-4,node3,Succeeded,2026-05-16T11:07:24Z
1778929685,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929685,fusion-v2-workload-2,node4,Succeeded,2026-05-16T11:05:22Z
1778929685,fusion-v2-workload-3,node4,Succeeded,2026-05-16T11:06:41Z
1778929685,fusion-workload-1,node4,Succeeded,2026-05-16T11:03:44Z
1778929685,fusion-workload-2,node3,Succeeded,2026-05-16T11:05:04Z
1778929685,fusion-workload-3,node3,Succeeded,2026-05-16T11:06:22Z
1778929685,fusion-workload-4,node4,Succeeded,2026-05-16T11:07:45Z
1778929685,mongo-workload-1,node4,Succeeded,2026-05-16T11:03:04Z
1778929685,mongo-workload-2,node4,Succeeded,2026-05-16T11:04:50Z
1778929685,mongo-workload-3,node4,Succeeded,2026-05-16T11:05:42Z
1778929685,mongo-workload-4,node4,Succeeded,2026-05-16T11:07:01Z
1778929685,postgre-workload-1,node3,Succeeded,2026-05-16T11:03:24Z
1778929685,postgre-workload-2,node3,Succeeded,2026-05-16T11:04:46Z
1778929685,postgre-workload-3,node4,Succeeded,2026-05-16T11:06:03Z
1778929685,postgre-workload-4,node3,Succeeded,2026-05-16T11:07:24Z
1778929715,fusion-v2-workload-1,node4,Succeeded,2026-05-16T11:04:04Z
1778929715,fusion-v2-workload-2,node4,Succeeded,2026-05-16T11:05:22Z
1778929715,fusion-v2-workload-3,node4,Succeeded,2026-05-16T11:06:41Z
