deploy_ts,pod_name,workload_type,scheduler
1779118094.223077969,mongo-workload-1,mongo,dqn-scheduler
1779118099.454678133,postgre-workload-1,postgre,dqn-scheduler
1779118104.663958991,fusion-workload-1,fusion,dqn-scheduler
1779118109.943657956,cpu-workload-1,cpu,dqn-scheduler
1779118115.190860473,mongo-workload-2,mongo,dqn-scheduler
1779118120.439467472,postgre-workload-2,postgre,dqn-scheduler
1779118125.654439413,fusion-workload-2,fusion,dqn-scheduler
1779118130.874290253,cpu-workload-2,cpu,dqn-scheduler
1779118136.106353395,mongo-workload-3,mongo,dqn-scheduler
1779118141.369355825,postgre-workload-3,postgre,dqn-scheduler
1779118146.602808213,fusion-workload-3,fusion,dqn-scheduler
1779118151.821418986,cpu-workload-3,cpu,dqn-scheduler
1779118157.041903256,mongo-workload-4,mongo,dqn-scheduler
1779118162.289581927,postgre-workload-4,postgre,dqn-scheduler
1779118167.517255752,fusion-workload-4,fusion,dqn-scheduler
1779118172.732098699,cpu-workload-4,cpu,dqn-scheduler
1779118177.952716088,mongo-workload-5,mongo,dqn-scheduler
1779118183.172753644,postgre-workload-5,postgre,dqn-scheduler
1779118188.394715918,fusion-workload-5,fusion,dqn-scheduler
1779118193.605457195,cpu-workload-5,cpu,dqn-scheduler
1779118198.841413746,mongo-workload-6,mongo,dqn-scheduler
1779118204.064262608,postgre-workload-6,postgre,dqn-scheduler
1779118209.303152315,fusion-workload-6,fusion,dqn-scheduler
1779118214.561215797,cpu-workload-6,cpu,dqn-scheduler
1779118219.814782359,mongo-workload-7,mongo,dqn-scheduler
1779118225.033405394,postgre-workload-7,postgre,dqn-scheduler
1779118230.266218468,fusion-workload-7,fusion,dqn-scheduler
1779118235.478533738,cpu-workload-7,cpu,dqn-scheduler
1779118240.727189378,mongo-workload-8,mongo,dqn-scheduler
1779118245.959273453,postgre-workload-8,postgre,dqn-scheduler
1779118251.180487582,fusion-workload-8,fusion,dqn-scheduler
1779118256.452317878,cpu-workload-8,cpu,dqn-scheduler
1779118261.673995709,mongo-workload-9,mongo,dqn-scheduler
1779118266.906528538,postgre-workload-9,postgre,dqn-scheduler
1779118272.125293818,fusion-workload-9,fusion,dqn-scheduler
1779118277.345851569,cpu-workload-9,cpu,dqn-scheduler
1779118282.598182622,mongo-workload-10,mongo,dqn-scheduler
1779118287.820163218,postgre-workload-10,postgre,dqn-scheduler
1779118293.040538097,fusion-workload-10,fusion,dqn-scheduler
1779118298.262624358,cpu-workload-10,cpu,dqn-scheduler
1779118303.496864323,mongo-workload-11,mongo,dqn-scheduler
1779118308.736470340,postgre-workload-11,postgre,dqn-scheduler
1779118313.968111465,fusion-workload-11,fusion,dqn-scheduler
1779118319.209405198,cpu-workload-11,cpu,dqn-scheduler
1779118324.450812302,mongo-workload-12,mongo,dqn-scheduler
1779118329.683013248,postgre-workload-12,postgre,dqn-scheduler
1779118334.924038131,fusion-workload-12,fusion,dqn-scheduler
1779118340.153361048,cpu-workload-12,cpu,dqn-scheduler
1779118345.374218582,mongo-workload-13,mongo,dqn-scheduler
1779118350.610052251,postgre-workload-13,postgre,dqn-scheduler
1779118355.861339333,fusion-workload-13,fusion,dqn-scheduler
1779118361.074116171,cpu-workload-13,cpu,dqn-scheduler
1779118366.332290630,mongo-workload-14,mongo,dqn-scheduler
1779118371.567428935,postgre-workload-14,postgre,dqn-scheduler
1779118376.787988424,fusion-workload-14,fusion,dqn-scheduler
1779118382.011436524,cpu-workload-14,cpu,dqn-scheduler
1779118387.240718449,mongo-workload-15,mongo,dqn-scheduler
1779118392.493078341,postgre-workload-15,postgre,dqn-scheduler
1779118397.707514334,fusion-workload-15,fusion,dqn-scheduler
1779118402.921896867,cpu-workload-15,cpu,dqn-scheduler
1779118408.141409093,mongo-workload-16,mongo,dqn-scheduler
1779118413.382783971,postgre-workload-16,postgre,dqn-scheduler
1779118418.639280725,fusion-workload-16,fusion,dqn-scheduler
1779118423.873085156,cpu-workload-16,cpu,dqn-scheduler
1779118429.101644473,mongo-workload-17,mongo,dqn-scheduler
1779118434.327226017,postgre-workload-17,postgre,dqn-scheduler
1779118439.557533978,fusion-workload-17,fusion,dqn-scheduler
1779118444.787136188,cpu-workload-17,cpu,dqn-scheduler
1779118450.010703030,mongo-workload-18,mongo,dqn-scheduler
1779118455.246816528,postgre-workload-18,postgre,dqn-scheduler
1779118460.491270330,fusion-workload-18,fusion,dqn-scheduler
1779118465.707234752,cpu-workload-18,cpu,dqn-scheduler
1779118470.919480344,mongo-workload-19,mongo,dqn-scheduler
1779118476.164126923,postgre-workload-19,postgre,dqn-scheduler
1779118481.390531951,fusion-workload-19,fusion,dqn-scheduler
1779118486.624811254,cpu-workload-19,cpu,dqn-scheduler
1779118491.856115026,mongo-workload-20,mongo,dqn-scheduler
1779118497.088867588,postgre-workload-20,postgre,dqn-scheduler
1779118502.319288168,fusion-workload-20,fusion,dqn-scheduler
1779118507.546024312,cpu-workload-20,cpu,dqn-scheduler
1779118512.761314652,mongo-workload-21,mongo,dqn-scheduler
1779118517.965367592,postgre-workload-21,postgre,dqn-scheduler
1779118523.202465918,fusion-workload-21,fusion,dqn-scheduler
1779118528.418296368,cpu-workload-21,cpu,dqn-scheduler
1779118533.666699459,mongo-workload-22,mongo,dqn-scheduler
1779118538.892108424,postgre-workload-22,postgre,dqn-scheduler
1779118544.121478514,fusion-workload-22,fusion,dqn-scheduler
1779118549.336571594,cpu-workload-22,cpu,dqn-scheduler
1779118554.578992998,mongo-workload-23,mongo,dqn-scheduler
1779118559.802296859,postgre-workload-23,postgre,dqn-scheduler
1779118565.039079179,fusion-workload-23,fusion,dqn-scheduler
1779118570.259450557,cpu-workload-23,cpu,dqn-scheduler
1779118575.483899555,mongo-workload-24,mongo,dqn-scheduler
1779118580.712404457,postgre-workload-24,postgre,dqn-scheduler
1779118585.930127436,fusion-workload-24,fusion,dqn-scheduler
1779118591.157342808,cpu-workload-24,cpu,dqn-scheduler
1779118596.383136302,mongo-workload-25,mongo,dqn-scheduler
1779118601.635274680,postgre-workload-25,postgre,dqn-scheduler
1779118606.889790204,fusion-workload-25,fusion,dqn-scheduler
1779118612.166366357,cpu-workload-25,cpu,dqn-scheduler
1779118617.415684445,mongo-workload-26,mongo,dqn-scheduler
1779118622.640066889,postgre-workload-26,postgre,dqn-scheduler
1779118627.894655158,fusion-workload-26,fusion,dqn-scheduler
1779118633.144528667,cpu-workload-26,cpu,dqn-scheduler
1779118638.380541594,mongo-workload-27,mongo,dqn-scheduler
1779118643.645340017,postgre-workload-27,postgre,dqn-scheduler
1779118648.898755271,fusion-workload-27,fusion,dqn-scheduler
1779118654.135545353,cpu-workload-27,cpu,dqn-scheduler
1779118659.390894725,mongo-workload-28,mongo,dqn-scheduler
1779118664.636961970,postgre-workload-28,postgre,dqn-scheduler
1779118669.890580168,fusion-workload-28,fusion,dqn-scheduler
1779118675.110863230,cpu-workload-28,cpu,dqn-scheduler
1779118680.325984578,mongo-workload-29,mongo,dqn-scheduler
1779118685.540894459,postgre-workload-29,postgre,dqn-scheduler
1779118690.757796776,fusion-workload-29,fusion,dqn-scheduler
1779118695.975382609,cpu-workload-29,cpu,dqn-scheduler
1779118701.208399354,mongo-workload-30,mongo,dqn-scheduler
1779118706.448898098,postgre-workload-30,postgre,dqn-scheduler
1779118711.694246715,fusion-workload-30,fusion,dqn-scheduler
1779118716.919688021,cpu-workload-30,cpu,dqn-scheduler
1779118722.207865980,mongo-workload-31,mongo,dqn-scheduler
1779118727.463499771,postgre-workload-31,postgre,dqn-scheduler
1779118732.718058366,fusion-workload-31,fusion,dqn-scheduler
1779118737.988403085,cpu-workload-31,cpu,dqn-scheduler
1779118743.250012697,mongo-workload-32,mongo,dqn-scheduler
1779118748.496069430,postgre-workload-32,postgre,dqn-scheduler
1779118753.735696642,fusion-workload-32,fusion,dqn-scheduler
1779118758.963994129,cpu-workload-32,cpu,dqn-scheduler
1779118764.192737945,mongo-workload-33,mongo,dqn-scheduler
1779118769.440888552,postgre-workload-33,postgre,dqn-scheduler
1779118774.680385275,fusion-workload-33,fusion,dqn-scheduler
1779118779.912692554,cpu-workload-33,cpu,dqn-scheduler
1779118785.145814363,mongo-workload-34,mongo,dqn-scheduler
1779118790.383281046,postgre-workload-34,postgre,dqn-scheduler
1779118795.626521131,fusion-workload-34,fusion,dqn-scheduler
1779118800.879928765,cpu-workload-34,cpu,dqn-scheduler
1779118806.113695307,mongo-workload-35,mongo,dqn-scheduler
1779118811.372322143,postgre-workload-35,postgre,dqn-scheduler
1779118816.620264080,fusion-workload-35,fusion,dqn-scheduler
1779118821.854697602,cpu-workload-35,cpu,dqn-scheduler
1779118827.107020245,mongo-workload-36,mongo,dqn-scheduler
1779118832.355507473,postgre-workload-36,postgre,dqn-scheduler
1779118837.605403332,fusion-workload-36,fusion,dqn-scheduler
1779118842.859325914,cpu-workload-36,cpu,dqn-scheduler
1779118848.084174837,mongo-workload-37,mongo,dqn-scheduler
1779118853.349235508,postgre-workload-37,postgre,dqn-scheduler
1779118858.589066700,fusion-workload-37,fusion,dqn-scheduler
1779118863.830076108,cpu-workload-37,cpu,dqn-scheduler
1779118869.055789707,mongo-workload-38,mongo,dqn-scheduler
1779118874.276477903,postgre-workload-38,postgre,dqn-scheduler
1779118879.496408033,fusion-workload-38,fusion,dqn-scheduler
1779118884.752302377,cpu-workload-38,cpu,dqn-scheduler
1779118889.991570947,mongo-workload-39,mongo,dqn-scheduler
1779118895.223181114,postgre-workload-39,postgre,dqn-scheduler
1779118900.451385598,fusion-workload-39,fusion,dqn-scheduler
1779118905.728587868,cpu-workload-39,cpu,dqn-scheduler
1779118910.942045752,mongo-workload-40,mongo,dqn-scheduler
1779118916.165493851,postgre-workload-40,postgre,dqn-scheduler
1779118921.420816839,fusion-workload-40,fusion,dqn-scheduler
1779118926.657328476,cpu-workload-40,cpu,dqn-scheduler
1779118931.923987288,mongo-workload-41,mongo,dqn-scheduler
1779118937.147528716,postgre-workload-41,postgre,dqn-scheduler
1779118942.377944671,fusion-workload-41,fusion,dqn-scheduler
1779118947.630091395,cpu-workload-41,cpu,dqn-scheduler
1779118952.856160092,mongo-workload-42,mongo,dqn-scheduler
1779118958.102312163,postgre-workload-42,postgre,dqn-scheduler
1779118963.337152415,fusion-workload-42,fusion,dqn-scheduler
1779118968.584758269,cpu-workload-42,cpu,dqn-scheduler
1779118973.833379301,mongo-workload-43,mongo,dqn-scheduler
1779118979.088046478,postgre-workload-43,postgre,dqn-scheduler
1779118984.323541307,fusion-workload-43,fusion,dqn-scheduler
1779118989.569447410,cpu-workload-43,cpu,dqn-scheduler
1779118994.833579609,mongo-workload-44,mongo,dqn-scheduler
1779119000.056764260,postgre-workload-44,postgre,dqn-scheduler
1779119005.302394798,fusion-workload-44,fusion,dqn-scheduler
1779119010.542908330,cpu-workload-44,cpu,dqn-scheduler
1779119015.777784079,mongo-workload-45,mongo,dqn-scheduler
1779119021.010870886,postgre-workload-45,postgre,dqn-scheduler
1779119026.255564696,fusion-workload-45,fusion,dqn-scheduler
1779119031.493622488,cpu-workload-45,cpu,dqn-scheduler
1779119036.721011954,mongo-workload-46,mongo,dqn-scheduler
1779119041.979324410,postgre-workload-46,postgre,dqn-scheduler
1779119047.215022295,fusion-workload-46,fusion,dqn-scheduler
1779119052.437126832,cpu-workload-46,cpu,dqn-scheduler
1779119057.697031654,mongo-workload-47,mongo,dqn-scheduler
1779119062.923263597,postgre-workload-47,postgre,dqn-scheduler
1779119068.248621051,fusion-workload-47,fusion,dqn-scheduler
1779119073.500760186,cpu-workload-47,cpu,dqn-scheduler
1779119078.757954100,mongo-workload-48,mongo,dqn-scheduler
1779119084.007880151,postgre-workload-48,postgre,dqn-scheduler
1779119089.263628149,fusion-workload-48,fusion,dqn-scheduler
1779119094.517661850,cpu-workload-48,cpu,dqn-scheduler
1779119099.759337657,mongo-workload-49,mongo,dqn-scheduler
1779119105.003713122,postgre-workload-49,postgre,dqn-scheduler
1779119110.227662210,fusion-workload-49,fusion,dqn-scheduler
1779119115.446163546,cpu-workload-49,cpu,dqn-scheduler
1779119120.672703170,mongo-workload-50,mongo,dqn-scheduler
1779119125.898220358,postgre-workload-50,postgre,dqn-scheduler
1779119131.138451891,fusion-workload-50,fusion,dqn-scheduler
1779119136.375343149,cpu-workload-50,cpu,dqn-scheduler
