snapshot_ts,pod_name,node_name,phase,start_time
1779118124,cpu-workload-1,node4,Failed,2026-05-18T15:28:38Z
1779118124,fusion-workload-1,node4,Succeeded,2026-05-18T15:28:31Z
1779118124,mongo-workload-1,node4,Succeeded,2026-05-18T15:28:24Z
1779118124,mongo-workload-2,node4,Running,2026-05-18T15:28:43Z
1779118124,postgre-workload-1,node4,Succeeded,2026-05-18T15:28:19Z
1779118124,postgre-workload-2,,Pending,
1779118154,cpu-workload-1,node4,Failed,2026-05-18T15:28:38Z
1779118154,cpu-workload-2,node4,Failed,2026-05-18T15:28:53Z
1779118154,cpu-workload-3,node4,Pending,2026-05-18T15:29:14Z
1779118154,fusion-workload-1,node4,Succeeded,2026-05-18T15:28:31Z
1779118154,fusion-workload-2,node2,Succeeded,2026-05-18T15:28:45Z
1779118154,fusion-workload-3,node4,Succeeded,2026-05-18T15:29:08Z
1779118154,mongo-workload-1,node4,Succeeded,2026-05-18T15:28:24Z
1779118154,mongo-workload-2,node4,Succeeded,2026-05-18T15:28:43Z
1779118154,mongo-workload-3,node4,Succeeded,2026-05-18T15:28:58Z
1779118154,postgre-workload-1,node4,Succeeded,2026-05-18T15:28:19Z
1779118154,postgre-workload-2,node4,Succeeded,2026-05-18T15:28:49Z
1779118154,postgre-workload-3,node4,Succeeded,2026-05-18T15:29:04Z
1779118184,cpu-workload-1,node4,Failed,2026-05-18T15:28:38Z
1779118184,cpu-workload-2,node4,Failed,2026-05-18T15:28:53Z
1779118184,cpu-workload-3,node4,Failed,2026-05-18T15:29:14Z
1779118184,cpu-workload-4,node4,Failed,2026-05-18T15:29:35Z
1779118184,fusion-workload-1,node4,Succeeded,2026-05-18T15:28:31Z
1779118184,fusion-workload-2,node2,Succeeded,2026-05-18T15:28:45Z
1779118184,fusion-workload-3,node4,Succeeded,2026-05-18T15:29:08Z
1779118184,fusion-workload-4,node4,Succeeded,2026-05-18T15:29:29Z
1779118184,mongo-workload-1,node4,Succeeded,2026-05-18T15:28:24Z
1779118184,mongo-workload-2,node4,Succeeded,2026-05-18T15:28:43Z
1779118184,mongo-workload-3,node4,Succeeded,2026-05-18T15:28:58Z
1779118184,mongo-workload-4,node4,Succeeded,2026-05-18T15:29:18Z
1779118184,mongo-workload-5,node4,Running,2026-05-18T15:29:39Z
1779118184,postgre-workload-1,node4,Succeeded,2026-05-18T15:28:19Z
1779118184,postgre-workload-2,node4,Succeeded,2026-05-18T15:28:49Z
1779118184,postgre-workload-3,node4,Succeeded,2026-05-18T15:29:04Z
1779118184,postgre-workload-4,node4,Succeeded,2026-05-18T15:29:24Z
1779118184,postgre-workload-5,,Pending,
1779118214,cpu-workload-1,node4,Failed,2026-05-18T15:28:38Z
1779118214,cpu-workload-2,node4,Failed,2026-05-18T15:28:53Z
1779118214,cpu-workload-3,node4,Failed,2026-05-18T15:29:14Z
1779118214,cpu-workload-4,node4,Failed,2026-05-18T15:29:35Z
1779118214,cpu-workload-5,node4,Failed,2026-05-18T15:29:57Z
1779118214,fusion-workload-1,node4,Succeeded,2026-05-18T15:28:31Z
1779118214,fusion-workload-2,node2,Succeeded,2026-05-18T15:28:45Z
1779118214,fusion-workload-3,node4,Succeeded,2026-05-18T15:29:08Z
1779118214,fusion-workload-4,node4,Succeeded,2026-05-18T15:29:29Z
1779118214,fusion-workload-5,node4,Succeeded,2026-05-18T15:29:50Z
1779118214,fusion-workload-6,node4,Running,2026-05-18T15:30:09Z
1779118214,mongo-workload-1,node4,Succeeded,2026-05-18T15:28:24Z
1779118214,mongo-workload-2,node4,Succeeded,2026-05-18T15:28:43Z
1779118214,mongo-workload-3,node4,Succeeded,2026-05-18T15:28:58Z
1779118214,mongo-workload-4,node4,Succeeded,2026-05-18T15:29:18Z
1779118214,mongo-workload-5,node4,Succeeded,2026-05-18T15:29:39Z
1779118214,mongo-workload-6,node1,Succeeded,2026-05-18T15:29:59Z
1779118214,postgre-workload-1,node4,Succeeded,2026-05-18T15:28:19Z
1779118214,postgre-workload-2,node4,Succeeded,2026-05-18T15:28:49Z
1779118214,postgre-workload-3,node4,Succeeded,2026-05-18T15:29:04Z
1779118214,postgre-workload-4,node4,Succeeded,2026-05-18T15:29:24Z
1779118214,postgre-workload-5,node4,Succeeded,2026-05-18T15:29:45Z
1779118214,postgre-workload-6,node4,Succeeded,2026-05-18T15:30:04Z
1779118244,cpu-workload-1,node4,Failed,2026-05-18T15:28:38Z
1779118244,cpu-workload-2,node4,Failed,2026-05-18T15:28:53Z
1779118244,cpu-workload-3,node4,Failed,2026-05-18T15:29:14Z
1779118244,cpu-workload-4,node4,Failed,2026-05-18T15:29:35Z
1779118244,cpu-workload-5,node4,Failed,2026-05-18T15:29:57Z
1779118244,cpu-workload-6,node4,Failed,2026-05-18T15:30:16Z
1779118244,cpu-workload-7,node4,Failed,2026-05-18T15:30:38Z
1779118244,fusion-workload-1,node4,Succeeded,2026-05-18T15:28:31Z
1779118244,fusion-workload-2,node2,Succeeded,2026-05-18T15:28:45Z
1779118244,fusion-workload-3,node4,Succeeded,2026-05-18T15:29:08Z
1779118244,fusion-workload-4,node4,Succeeded,2026-05-18T15:29:29Z
1779118244,fusion-workload-5,node4,Succeeded,2026-05-18T15:29:50Z
1779118244,fusion-workload-6,node4,Succeeded,2026-05-18T15:30:09Z
1779118244,fusion-workload-7,node4,Succeeded,2026-05-18T15:30:32Z
1779118244,mongo-workload-1,node4,Succeeded,2026-05-18T15:28:24Z
1779118244,mongo-workload-2,node4,Succeeded,2026-05-18T15:28:43Z
1779118244,mongo-workload-3,node4,Succeeded,2026-05-18T15:28:58Z
1779118244,mongo-workload-4,node4,Succeeded,2026-05-18T15:29:18Z
1779118244,mongo-workload-5,node4,Succeeded,2026-05-18T15:29:39Z
1779118244,mongo-workload-6,node1,Succeeded,2026-05-18T15:29:59Z
1779118244,mongo-workload-7,node4,Succeeded,2026-05-18T15:30:20Z
1779118244,mongo-workload-8,node4,Pending,2026-05-18T15:30:42Z
1779118244,postgre-workload-1,node4,Succeeded,2026-05-18T15:28:19Z
1779118244,postgre-workload-2,node4,Succeeded,2026-05-18T15:28:49Z
1779118244,postgre-workload-3,node4,Succeeded,2026-05-18T15:29:04Z
1779118244,postgre-workload-4,node4,Succeeded,2026-05-18T15:29:24Z
1779118244,postgre-workload-5,node4,Succeeded,2026-05-18T15:29:45Z
1779118244,postgre-workload-6,node4,Succeeded,2026-05-18T15:30:04Z
1779118244,postgre-workload-7,node4,Succeeded,2026-05-18T15:30:26Z
1779118274,cpu-workload-1,node4,Failed,2026-05-18T15:28:38Z
1779118274,cpu-workload-2,node4,Failed,2026-05-18T15:28:53Z
1779118274,cpu-workload-3,node4,Failed,2026-05-18T15:29:14Z
1779118274,cpu-workload-4,node4,Failed,2026-05-18T15:29:35Z
1779118274,cpu-workload-5,node4,Failed,2026-05-18T15:29:57Z
1779118274,cpu-workload-6,node4,Failed,2026-05-18T15:30:16Z
1779118274,cpu-workload-7,node4,Failed,2026-05-18T15:30:38Z
1779118274,cpu-workload-8,node4,Failed,2026-05-18T15:31:00Z
1779118274,fusion-workload-1,node4,Succeeded,2026-05-18T15:28:31Z
1779118274,fusion-workload-2,node2,Succeeded,2026-05-18T15:28:45Z
1779118274,fusion-workload-3,node4,Succeeded,2026-05-18T15:29:08Z
1779118274,fusion-workload-4,node4,Succeeded,2026-05-18T15:29:29Z
1779118274,fusion-workload-5,node4,Succeeded,2026-05-18T15:29:50Z
1779118274,fusion-workload-6,node4,Succeeded,2026-05-18T15:30:09Z
1779118274,fusion-workload-7,node4,Succeeded,2026-05-18T15:30:32Z
1779118274,fusion-workload-8,node4,Succeeded,2026-05-18T15:30:53Z
1779118274,fusion-workload-9,node4,Pending,2026-05-18T15:31:14Z
1779118274,mongo-workload-1,node4,Succeeded,2026-05-18T15:28:24Z
1779118274,mongo-workload-2,node4,Succeeded,2026-05-18T15:28:43Z
1779118274,mongo-workload-3,node4,Succeeded,2026-05-18T15:28:58Z
1779118274,mongo-workload-4,node4,Succeeded,2026-05-18T15:29:18Z
1779118274,mongo-workload-5,node4,Succeeded,2026-05-18T15:29:39Z
1779118274,mongo-workload-6,node1,Succeeded,2026-05-18T15:29:59Z
1779118274,mongo-workload-7,node4,Succeeded,2026-05-18T15:30:20Z
1779118274,mongo-workload-8,node4,Succeeded,2026-05-18T15:30:42Z
1779118274,mongo-workload-9,node4,Succeeded,2026-05-18T15:31:04Z
1779118274,postgre-workload-1,node4,Succeeded,2026-05-18T15:28:19Z
1779118274,postgre-workload-2,node4,Succeeded,2026-05-18T15:28:49Z
1779118274,postgre-workload-3,node4,Succeeded,2026-05-18T15:29:04Z
1779118274,postgre-workload-4,node4,Succeeded,2026-05-18T15:29:24Z
1779118274,postgre-workload-5,node4,Succeeded,2026-05-18T15:29:45Z
1779118274,postgre-workload-6,node4,Succeeded,2026-05-18T15:30:04Z
1779118274,postgre-workload-7,node4,Succeeded,2026-05-18T15:30:26Z
1779118274,postgre-workload-8,node4,Succeeded,2026-05-18T15:30:48Z
1779118274,postgre-workload-9,node4,Succeeded,2026-05-18T15:31:10Z
1779118305,cpu-workload-1,node4,Failed,2026-05-18T15:28:38Z
1779118305,cpu-workload-10,node4,Running,2026-05-18T15:31:42Z
1779118305,cpu-workload-2,node4,Failed,2026-05-18T15:28:53Z
1779118305,cpu-workload-3,node4,Failed,2026-05-18T15:29:14Z
1779118305,cpu-workload-4,node4,Failed,2026-05-18T15:29:35Z
1779118305,cpu-workload-5,node4,Failed,2026-05-18T15:29:57Z
1779118305,cpu-workload-6,node4,Failed,2026-05-18T15:30:16Z
1779118305,cpu-workload-7,node4,Failed,2026-05-18T15:30:38Z
1779118305,cpu-workload-8,node4,Failed,2026-05-18T15:31:00Z
1779118305,cpu-workload-9,node4,Failed,2026-05-18T15:31:20Z
1779118305,fusion-workload-1,node4,Succeeded,2026-05-18T15:28:31Z
1779118305,fusion-workload-10,node4,Succeeded,2026-05-18T15:31:35Z
1779118305,fusion-workload-2,node2,Succeeded,2026-05-18T15:28:45Z
