deploy_ts,pod_name,workload_type,scheduler
1779098410.893506111,fusion-workload-1,fusion,dqn-scheduler
1779098416.147237759,fusion-workload-2,fusion,dqn-scheduler
1779098421.380406530,fusion-workload-3,fusion,dqn-scheduler
1779098426.617151796,fusion-workload-4,fusion,dqn-scheduler
1779098431.848426056,fusion-v2-workload-5,fusion-v2,dqn-scheduler
1779098437.085342423,mongo-workload-6,mongo,dqn-scheduler
1779098442.317259973,postgre-workload-7,postgre,dqn-scheduler
1779098447.549587791,fusion-workload-8,fusion,dqn-scheduler
1779098452.781450978,fusion-workload-9,fusion,dqn-scheduler
1779098458.004002944,fusion-workload-10,fusion,dqn-scheduler
1779098463.237702129,fusion-workload-11,fusion,dqn-scheduler
1779098468.475262574,fusion-v2-workload-12,fusion-v2,dqn-scheduler
1779098473.693045818,mongo-workload-13,mongo,dqn-scheduler
1779098478.926500189,postgre-workload-14,postgre,dqn-scheduler
1779098484.162681832,fusion-workload-15,fusion,dqn-scheduler
1779098489.394720238,fusion-workload-16,fusion,dqn-scheduler
1779098494.630419937,fusion-workload-17,fusion,dqn-scheduler
1779098499.849412138,fusion-workload-18,fusion,dqn-scheduler
1779098505.076674170,fusion-v2-workload-19,fusion-v2,dqn-scheduler
1779098510.322380414,mongo-workload-20,mongo,dqn-scheduler
1779098515.561091768,postgre-workload-21,postgre,dqn-scheduler
1779098520.792733947,fusion-workload-22,fusion,dqn-scheduler
1779098526.032896504,fusion-workload-23,fusion,dqn-scheduler
1779098531.245512348,fusion-workload-24,fusion,dqn-scheduler
1779098536.500070363,fusion-workload-25,fusion,dqn-scheduler
1779098541.749039223,fusion-v2-workload-26,fusion-v2,dqn-scheduler
1779098546.961571436,mongo-workload-27,mongo,dqn-scheduler
1779098552.184495983,postgre-workload-28,postgre,dqn-scheduler
1779098557.422100910,fusion-workload-29,fusion,dqn-scheduler
1779098562.656465386,fusion-workload-30,fusion,dqn-scheduler
1779098567.888472340,fusion-workload-31,fusion,dqn-scheduler
1779098573.114203613,fusion-workload-32,fusion,dqn-scheduler
1779098578.358358803,fusion-v2-workload-33,fusion-v2,dqn-scheduler
1779098583.583947752,mongo-workload-34,mongo,dqn-scheduler
1779098588.816300732,postgre-workload-35,postgre,dqn-scheduler
1779098594.090275366,fusion-workload-36,fusion,dqn-scheduler
1779098599.320439694,fusion-workload-37,fusion,dqn-scheduler
1779098604.544884739,fusion-workload-38,fusion,dqn-scheduler
1779098609.771312063,fusion-workload-39,fusion,dqn-scheduler
1779098614.993678574,fusion-v2-workload-40,fusion-v2,dqn-scheduler
1779098620.218431557,mongo-workload-41,mongo,dqn-scheduler
1779098625.429912347,postgre-workload-42,postgre,dqn-scheduler
1779098630.662782589,fusion-workload-43,fusion,dqn-scheduler
1779098635.897205295,fusion-workload-44,fusion,dqn-scheduler
1779098641.112677477,fusion-workload-45,fusion,dqn-scheduler
1779098646.341219188,fusion-workload-46,fusion,dqn-scheduler
1779098651.565451167,fusion-v2-workload-47,fusion-v2,dqn-scheduler
1779098656.795846064,mongo-workload-48,mongo,dqn-scheduler
1779098662.018668357,postgre-workload-49,postgre,dqn-scheduler
1779098667.244241686,fusion-workload-50,fusion,dqn-scheduler
1779098672.452428567,fusion-workload-51,fusion,dqn-scheduler
1779098677.686857504,fusion-workload-52,fusion,dqn-scheduler
1779098682.931487714,fusion-workload-53,fusion,dqn-scheduler
1779098688.148309620,fusion-v2-workload-54,fusion-v2,dqn-scheduler
1779098693.373719876,mongo-workload-55,mongo,dqn-scheduler
1779098698.605031974,postgre-workload-56,postgre,dqn-scheduler
1779098703.835565608,fusion-workload-57,fusion,dqn-scheduler
1779098709.057984932,fusion-workload-58,fusion,dqn-scheduler
1779098714.283972358,fusion-workload-59,fusion,dqn-scheduler
1779098719.504637038,fusion-workload-60,fusion,dqn-scheduler
1779098724.734437857,fusion-v2-workload-61,fusion-v2,dqn-scheduler
1779098729.981184555,mongo-workload-62,mongo,dqn-scheduler
1779098735.197748094,postgre-workload-63,postgre,dqn-scheduler
1779098740.435099589,fusion-workload-64,fusion,dqn-scheduler
1779098745.664547383,fusion-workload-65,fusion,dqn-scheduler
1779098750.880959178,fusion-workload-66,fusion,dqn-scheduler
1779098756.105383513,fusion-workload-67,fusion,dqn-scheduler
1779098761.330771116,fusion-v2-workload-68,fusion-v2,dqn-scheduler
1779098766.570697731,mongo-workload-69,mongo,dqn-scheduler
1779098771.808984011,postgre-workload-70,postgre,dqn-scheduler
1779098777.009291831,fusion-workload-71,fusion,dqn-scheduler
1779098782.234506847,fusion-workload-72,fusion,dqn-scheduler
1779098787.447407592,fusion-workload-73,fusion,dqn-scheduler
1779098792.693504751,fusion-workload-74,fusion,dqn-scheduler
1779098797.908758869,fusion-v2-workload-75,fusion-v2,dqn-scheduler
1779098803.127980696,mongo-workload-76,mongo,dqn-scheduler
1779098808.354161425,postgre-workload-77,postgre,dqn-scheduler
1779098813.594197650,fusion-workload-78,fusion,dqn-scheduler
1779098818.816600077,fusion-workload-79,fusion,dqn-scheduler
1779098824.068047742,fusion-workload-80,fusion,dqn-scheduler
1779098829.292413186,fusion-workload-81,fusion,dqn-scheduler
1779098834.521320966,fusion-v2-workload-82,fusion-v2,dqn-scheduler
1779098839.771697373,mongo-workload-83,mongo,dqn-scheduler
1779098845.011794637,postgre-workload-84,postgre,dqn-scheduler
1779098850.252134315,fusion-workload-85,fusion,dqn-scheduler
1779098855.468718553,fusion-workload-86,fusion,dqn-scheduler
1779098860.709306234,fusion-workload-87,fusion,dqn-scheduler
1779098865.927065822,fusion-workload-88,fusion,dqn-scheduler
1779098871.157893482,fusion-v2-workload-89,fusion-v2,dqn-scheduler
1779098876.392939591,mongo-workload-90,mongo,dqn-scheduler
1779098881.613764273,postgre-workload-91,postgre,dqn-scheduler
1779098886.895112570,fusion-workload-92,fusion,dqn-scheduler
1779098892.117874335,fusion-workload-93,fusion,dqn-scheduler
1779098897.340492182,fusion-workload-94,fusion,dqn-scheduler
1779098902.588489733,fusion-workload-95,fusion,dqn-scheduler
1779098907.814729554,fusion-v2-workload-96,fusion-v2,dqn-scheduler
1779098913.046481863,mongo-workload-97,mongo,dqn-scheduler
1779098918.272458706,postgre-workload-98,postgre,dqn-scheduler
1779098923.496979088,fusion-workload-99,fusion,dqn-scheduler
1779098928.751389290,fusion-workload-100,fusion,dqn-scheduler
1779098933.963090649,fusion-workload-101,fusion,dqn-scheduler
1779098939.195627301,fusion-workload-102,fusion,dqn-scheduler
1779098944.422424147,fusion-v2-workload-103,fusion-v2,dqn-scheduler
1779098949.656221453,mongo-workload-104,mongo,dqn-scheduler
1779098954.880350506,postgre-workload-105,postgre,dqn-scheduler
1779098960.099406067,fusion-workload-106,fusion,dqn-scheduler
1779098965.325472625,fusion-workload-107,fusion,dqn-scheduler
1779098970.535651491,fusion-workload-108,fusion,dqn-scheduler
1779098975.754998845,fusion-workload-109,fusion,dqn-scheduler
1779098980.969273737,fusion-v2-workload-110,fusion-v2,dqn-scheduler
1779098986.190767054,mongo-workload-111,mongo,dqn-scheduler
1779098991.429350964,postgre-workload-112,postgre,dqn-scheduler
1779098996.658301922,fusion-workload-113,fusion,dqn-scheduler
1779099001.877906502,fusion-workload-114,fusion,dqn-scheduler
1779099007.095792992,fusion-workload-115,fusion,dqn-scheduler
1779099012.317202277,fusion-workload-116,fusion,dqn-scheduler
1779099017.556666373,fusion-v2-workload-117,fusion-v2,dqn-scheduler
1779099022.776028199,mongo-workload-118,mongo,dqn-scheduler
1779099028.000483792,postgre-workload-119,postgre,dqn-scheduler
1779099033.233338319,fusion-workload-120,fusion,dqn-scheduler
1779099038.547193932,fusion-workload-121,fusion,dqn-scheduler
1779099043.779849467,fusion-workload-122,fusion,dqn-scheduler
1779099048.995385090,fusion-workload-123,fusion,dqn-scheduler
1779099054.228037434,fusion-v2-workload-124,fusion-v2,dqn-scheduler
1779099059.439731534,mongo-workload-125,mongo,dqn-scheduler
1779099064.655510984,postgre-workload-126,postgre,dqn-scheduler
1779099069.862594985,fusion-workload-127,fusion,dqn-scheduler
1779099075.114887906,fusion-workload-128,fusion,dqn-scheduler
1779099080.339860736,fusion-workload-129,fusion,dqn-scheduler
1779099085.561306833,fusion-workload-130,fusion,dqn-scheduler
1779099090.814907101,fusion-v2-workload-131,fusion-v2,dqn-scheduler
1779099096.035112973,mongo-workload-132,mongo,dqn-scheduler
1779099101.279316732,postgre-workload-133,postgre,dqn-scheduler
1779099106.501228567,fusion-workload-134,fusion,dqn-scheduler
1779099111.741011578,fusion-workload-135,fusion,dqn-scheduler
1779099116.980961952,fusion-workload-136,fusion,dqn-scheduler
1779099122.203110630,fusion-workload-137,fusion,dqn-scheduler
1779099127.462515535,fusion-v2-workload-138,fusion-v2,dqn-scheduler
1779099132.693907823,mongo-workload-139,mongo,dqn-scheduler
1779099137.921324566,postgre-workload-140,postgre,dqn-scheduler
1779099143.150915783,fusion-workload-141,fusion,dqn-scheduler
1779099148.374151145,fusion-workload-142,fusion,dqn-scheduler
1779099153.601673651,fusion-workload-143,fusion,dqn-scheduler
1779099158.823079397,fusion-workload-144,fusion,dqn-scheduler
1779099164.093387822,fusion-v2-workload-145,fusion-v2,dqn-scheduler
1779099169.326667817,mongo-workload-146,mongo,dqn-scheduler
1779099174.568911981,postgre-workload-147,postgre,dqn-scheduler
1779099179.786925542,fusion-workload-148,fusion,dqn-scheduler
1779099185.018280274,fusion-workload-149,fusion,dqn-scheduler
1779099190.306039070,fusion-workload-150,fusion,dqn-scheduler
1779099195.528815185,fusion-workload-151,fusion,dqn-scheduler
1779099200.773402641,fusion-v2-workload-152,fusion-v2,dqn-scheduler
1779099205.992727193,mongo-workload-153,mongo,dqn-scheduler
1779099211.214888667,postgre-workload-154,postgre,dqn-scheduler
1779099216.426554432,fusion-workload-155,fusion,dqn-scheduler
1779099221.683155193,fusion-workload-156,fusion,dqn-scheduler
1779099226.895969126,fusion-workload-157,fusion,dqn-scheduler
1779099232.117055105,fusion-workload-158,fusion,dqn-scheduler
1779099237.346796178,fusion-v2-workload-159,fusion-v2,dqn-scheduler
1779099242.587150868,mongo-workload-160,mongo,dqn-scheduler
1779099247.833106216,postgre-workload-161,postgre,dqn-scheduler
1779099253.060809992,fusion-workload-162,fusion,dqn-scheduler
1779099258.292229095,fusion-workload-163,fusion,dqn-scheduler
1779099263.531734288,fusion-workload-164,fusion,dqn-scheduler
1779099268.767313364,fusion-workload-165,fusion,dqn-scheduler
1779099274.006495432,fusion-v2-workload-166,fusion-v2,dqn-scheduler
1779099279.250931091,mongo-workload-167,mongo,dqn-scheduler
1779099284.483592032,postgre-workload-168,postgre,dqn-scheduler
1779099289.709158455,fusion-workload-169,fusion,dqn-scheduler
1779099294.945581372,fusion-workload-170,fusion,dqn-scheduler
1779099300.189706368,fusion-workload-171,fusion,dqn-scheduler
1779099305.422396578,fusion-workload-172,fusion,dqn-scheduler
1779099310.648930748,fusion-v2-workload-173,fusion-v2,dqn-scheduler
1779099315.868974771,mongo-workload-174,mongo,dqn-scheduler
1779099321.095984017,postgre-workload-175,postgre,dqn-scheduler
1779099326.335114967,fusion-workload-176,fusion,dqn-scheduler
1779099331.564637376,fusion-workload-177,fusion,dqn-scheduler
1779099336.816654693,fusion-workload-178,fusion,dqn-scheduler
1779099342.039677974,fusion-workload-179,fusion,dqn-scheduler
1779099347.251909881,fusion-v2-workload-180,fusion-v2,dqn-scheduler
1779099352.522336990,mongo-workload-181,mongo,dqn-scheduler
1779099357.747359932,postgre-workload-182,postgre,dqn-scheduler
1779099362.972888954,fusion-workload-183,fusion,dqn-scheduler
1779099368.193978817,fusion-workload-184,fusion,dqn-scheduler
1779099373.440172716,fusion-workload-185,fusion,dqn-scheduler
1779099378.672784686,fusion-workload-186,fusion,dqn-scheduler
1779099383.885628057,fusion-v2-workload-187,fusion-v2,dqn-scheduler
1779099389.116894088,mongo-workload-188,mongo,dqn-scheduler
1779099394.346989895,postgre-workload-189,postgre,dqn-scheduler
1779099399.580203690,fusion-workload-190,fusion,dqn-scheduler
1779099404.796251344,fusion-workload-191,fusion,dqn-scheduler
1779099410.024687933,fusion-workload-192,fusion,dqn-scheduler
1779099415.253451897,fusion-workload-193,fusion,dqn-scheduler
1779099420.483948496,fusion-v2-workload-194,fusion-v2,dqn-scheduler
1779099425.709015247,mongo-workload-195,mongo,dqn-scheduler
1779099430.925596822,postgre-workload-196,postgre,dqn-scheduler
