snapshot_ts,pod_name,node_name,phase,start_time
1779098440,fusion-v2-workload-5,,Pending,
1779098440,fusion-workload-1,node4,Succeeded,2026-05-18T10:00:11Z
1779098440,fusion-workload-2,node2,Succeeded,2026-05-18T10:00:16Z
1779098440,fusion-workload-3,node2,Running,2026-05-18T10:00:33Z
1779098440,fusion-workload-4,,Pending,
1779098440,mongo-workload-6,node4,Running,2026-05-18T10:00:37Z
1779098471,fusion-v2-workload-12,node2,Pending,2026-05-18T10:01:10Z
1779098471,fusion-v2-workload-5,,Pending,
1779098471,fusion-workload-1,node4,Succeeded,2026-05-18T10:00:11Z
1779098471,fusion-workload-10,node2,Succeeded,2026-05-18T10:01:02Z
1779098471,fusion-workload-11,node4,Succeeded,2026-05-18T10:01:03Z
1779098471,fusion-workload-2,node2,Succeeded,2026-05-18T10:00:16Z
1779098471,fusion-workload-3,node2,Succeeded,2026-05-18T10:00:33Z
1779098471,fusion-workload-4,,Pending,
1779098471,fusion-workload-8,node2,Succeeded,2026-05-18T10:00:51Z
1779098471,fusion-workload-9,node4,Succeeded,2026-05-18T10:00:53Z
1779098471,mongo-workload-6,node4,Succeeded,2026-05-18T10:00:37Z
1779098471,postgre-workload-7,node3,Succeeded,2026-05-18T10:00:42Z
1779098501,fusion-v2-workload-12,node2,Succeeded,2026-05-18T10:01:10Z
1779098501,fusion-v2-workload-5,,Pending,
1779098501,fusion-workload-1,node4,Succeeded,2026-05-18T10:00:11Z
1779098501,fusion-workload-10,node2,Succeeded,2026-05-18T10:01:02Z
1779098501,fusion-workload-11,node4,Succeeded,2026-05-18T10:01:03Z
1779098501,fusion-workload-15,node4,Succeeded,2026-05-18T10:01:24Z
1779098501,fusion-workload-16,node4,Succeeded,2026-05-18T10:01:30Z
1779098501,fusion-workload-17,node4,Running,2026-05-18T10:01:39Z
1779098501,fusion-workload-18,node2,Pending,2026-05-18T10:01:40Z
1779098501,fusion-workload-2,node2,Succeeded,2026-05-18T10:00:16Z
1779098501,fusion-workload-3,node2,Succeeded,2026-05-18T10:00:33Z
1779098501,fusion-workload-4,node2,Succeeded,2026-05-18T10:01:29Z
1779098501,fusion-workload-8,node2,Succeeded,2026-05-18T10:00:51Z
1779098501,fusion-workload-9,node4,Succeeded,2026-05-18T10:00:53Z
1779098501,mongo-workload-13,node2,Succeeded,2026-05-18T10:01:18Z
1779098501,mongo-workload-6,node4,Succeeded,2026-05-18T10:00:37Z
1779098501,postgre-workload-14,node2,Succeeded,2026-05-18T10:01:24Z
1779098501,postgre-workload-7,node3,Succeeded,2026-05-18T10:00:42Z
1779098531,fusion-v2-workload-12,node2,Succeeded,2026-05-18T10:01:10Z
1779098531,fusion-v2-workload-19,node2,Succeeded,2026-05-18T10:01:49Z
1779098531,fusion-v2-workload-5,,Pending,
1779098531,fusion-workload-1,node4,Succeeded,2026-05-18T10:00:11Z
1779098531,fusion-workload-10,node2,Succeeded,2026-05-18T10:01:02Z
1779098531,fusion-workload-11,node4,Succeeded,2026-05-18T10:01:03Z
1779098531,fusion-workload-15,node4,Succeeded,2026-05-18T10:01:24Z
1779098531,fusion-workload-16,node4,Succeeded,2026-05-18T10:01:30Z
1779098531,fusion-workload-17,node4,Succeeded,2026-05-18T10:01:39Z
1779098531,fusion-workload-18,node2,Succeeded,2026-05-18T10:01:40Z
1779098531,fusion-workload-2,node2,Succeeded,2026-05-18T10:00:16Z
1779098531,fusion-workload-22,node2,Running,2026-05-18T10:02:09Z
1779098531,fusion-workload-23,node4,Running,2026-05-18T10:02:06Z
1779098531,fusion-workload-3,node2,Succeeded,2026-05-18T10:00:33Z
