deploy_ts,pod_name,workload_type,scheduler
1779099560.705420952,fusion-workload-1,fusion,dqn-scheduler
1779099565.952204334,fusion-workload-2,fusion,dqn-scheduler
1779099571.182540055,fusion-workload-3,fusion,dqn-scheduler
1779099576.416748965,fusion-workload-4,fusion,dqn-scheduler
1779099581.650208776,fusion-workload-5,fusion,dqn-scheduler
1779099586.880463713,fusion-workload-6,fusion,dqn-scheduler
1779099592.109499163,fusion-workload-7,fusion,dqn-scheduler
1779099597.330606121,fusion-workload-8,fusion,dqn-scheduler
1779099602.558304802,fusion-workload-9,fusion,dqn-scheduler
1779099607.783089122,fusion-workload-10,fusion,dqn-scheduler
1779099613.009885892,fusion-workload-11,fusion,dqn-scheduler
1779099618.244147861,fusion-workload-12,fusion,dqn-scheduler
1779099623.458962676,fusion-workload-13,fusion,dqn-scheduler
1779099628.709643475,fusion-workload-14,fusion,dqn-scheduler
1779099633.950226880,fusion-workload-15,fusion,dqn-scheduler
1779099639.166370582,fusion-workload-16,fusion,dqn-scheduler
1779099644.382262722,fusion-workload-17,fusion,dqn-scheduler
1779099649.600206724,fusion-workload-18,fusion,dqn-scheduler
1779099654.841375473,fusion-workload-19,fusion,dqn-scheduler
1779099660.076266393,fusion-workload-20,fusion,dqn-scheduler
1779099665.344332269,fusion-workload-21,fusion,dqn-scheduler
1779099670.588981576,fusion-workload-22,fusion,dqn-scheduler
1779099675.818523099,fusion-workload-23,fusion,dqn-scheduler
1779099681.041792259,fusion-workload-24,fusion,dqn-scheduler
1779099686.290524473,fusion-workload-25,fusion,dqn-scheduler
1779099691.531613215,fusion-workload-26,fusion,dqn-scheduler
1779099696.747941186,fusion-workload-27,fusion,dqn-scheduler
1779099701.991051318,fusion-workload-28,fusion,dqn-scheduler
1779099707.260069311,fusion-workload-29,fusion,dqn-scheduler
1779099712.484963922,fusion-workload-30,fusion,dqn-scheduler
1779099717.698318600,fusion-workload-31,fusion,dqn-scheduler
1779099722.926128416,fusion-workload-32,fusion,dqn-scheduler
1779099728.149229673,fusion-workload-33,fusion,dqn-scheduler
1779099733.382288785,fusion-workload-34,fusion,dqn-scheduler
1779099738.614401703,fusion-workload-35,fusion,dqn-scheduler
1779099743.832984580,fusion-workload-36,fusion,dqn-scheduler
1779099749.061782507,fusion-workload-37,fusion,dqn-scheduler
1779099754.297697452,fusion-workload-38,fusion,dqn-scheduler
1779099759.510965750,fusion-workload-39,fusion,dqn-scheduler
1779099764.754007716,fusion-workload-40,fusion,dqn-scheduler
1779099769.987509744,fusion-workload-41,fusion,dqn-scheduler
1779099775.230038308,fusion-workload-42,fusion,dqn-scheduler
1779099780.454027723,fusion-workload-43,fusion,dqn-scheduler
1779099785.690008027,fusion-workload-44,fusion,dqn-scheduler
1779099790.912203501,fusion-workload-45,fusion,dqn-scheduler
1779099796.142279089,fusion-workload-46,fusion,dqn-scheduler
1779099801.377035988,fusion-workload-47,fusion,dqn-scheduler
1779099806.665422943,fusion-workload-48,fusion,dqn-scheduler
1779099811.881759946,fusion-workload-49,fusion,dqn-scheduler
1779099817.134571783,fusion-workload-50,fusion,dqn-scheduler
1779099822.381963647,fusion-workload-51,fusion,dqn-scheduler
1779099827.615768465,fusion-workload-52,fusion,dqn-scheduler
1779099832.870239169,fusion-workload-53,fusion,dqn-scheduler
1779099838.104743991,fusion-workload-54,fusion,dqn-scheduler
1779099843.334196087,fusion-workload-55,fusion,dqn-scheduler
1779099848.576398926,fusion-workload-56,fusion,dqn-scheduler
1779099853.826928681,fusion-workload-57,fusion,dqn-scheduler
1779099859.071723003,fusion-workload-58,fusion,dqn-scheduler
1779099864.292520219,fusion-workload-59,fusion,dqn-scheduler
1779099869.550727793,fusion-workload-60,fusion,dqn-scheduler
1779099874.787186479,fusion-workload-61,fusion,dqn-scheduler
1779099880.092399965,fusion-workload-62,fusion,dqn-scheduler
1779099885.306705627,fusion-workload-63,fusion,dqn-scheduler
1779099890.535161807,fusion-workload-64,fusion,dqn-scheduler
1779099895.770211452,fusion-workload-65,fusion,dqn-scheduler
1779099901.008893453,fusion-workload-66,fusion,dqn-scheduler
1779099906.257934183,fusion-workload-67,fusion,dqn-scheduler
