snapshot_ts,pod_name,node_name,phase,start_time
1779099590,fusion-workload-1,node2,Succeeded,2026-05-18T10:19:20Z
1779099590,fusion-workload-2,node2,Succeeded,2026-05-18T10:19:27Z
1779099590,fusion-workload-3,node1,Succeeded,2026-05-18T10:19:31Z
1779099590,fusion-workload-4,node3,Succeeded,2026-05-18T10:19:36Z
1779099590,fusion-workload-5,node2,Succeeded,2026-05-18T10:19:41Z
1779099590,fusion-workload-6,node2,Running,2026-05-18T10:19:48Z
1779099620,fusion-workload-1,node2,Succeeded,2026-05-18T10:19:20Z
1779099620,fusion-workload-10,node2,Succeeded,2026-05-18T10:20:09Z
1779099620,fusion-workload-11,node2,Running,2026-05-18T10:20:15Z
1779099620,fusion-workload-12,,Pending,
1779099620,fusion-workload-2,node2,Succeeded,2026-05-18T10:19:27Z
1779099620,fusion-workload-3,node1,Succeeded,2026-05-18T10:19:31Z
1779099620,fusion-workload-4,node3,Succeeded,2026-05-18T10:19:36Z
1779099620,fusion-workload-5,node2,Succeeded,2026-05-18T10:19:41Z
1779099620,fusion-workload-6,node2,Succeeded,2026-05-18T10:19:48Z
1779099620,fusion-workload-7,node2,Succeeded,2026-05-18T10:19:55Z
1779099620,fusion-workload-8,node3,Succeeded,2026-05-18T10:19:57Z
1779099620,fusion-workload-9,node2,Succeeded,2026-05-18T10:20:02Z
1779099650,fusion-workload-1,node2,Succeeded,2026-05-18T10:19:20Z
1779099650,fusion-workload-10,node2,Succeeded,2026-05-18T10:20:09Z
1779099650,fusion-workload-11,node2,Succeeded,2026-05-18T10:20:15Z
1779099650,fusion-workload-12,node2,Succeeded,2026-05-18T10:20:21Z
1779099650,fusion-workload-13,node2,Succeeded,2026-05-18T10:20:26Z
1779099650,fusion-workload-14,node2,Succeeded,2026-05-18T10:20:32Z
1779099650,fusion-workload-15,node2,Succeeded,2026-05-18T10:20:38Z
1779099650,fusion-workload-16,node2,Succeeded,2026-05-18T10:20:44Z
1779099650,fusion-workload-17,node1,Succeeded,2026-05-18T10:20:44Z
1779099650,fusion-workload-18,node2,Running,2026-05-18T10:20:49Z
1779099650,fusion-workload-2,node2,Succeeded,2026-05-18T10:19:27Z
1779099650,fusion-workload-3,node1,Succeeded,2026-05-18T10:19:31Z
1779099650,fusion-workload-4,node3,Succeeded,2026-05-18T10:19:36Z
1779099650,fusion-workload-5,node2,Succeeded,2026-05-18T10:19:41Z
1779099650,fusion-workload-6,node2,Succeeded,2026-05-18T10:19:48Z
1779099650,fusion-workload-7,node2,Succeeded,2026-05-18T10:19:55Z
1779099650,fusion-workload-8,node3,Succeeded,2026-05-18T10:19:57Z
1779099650,fusion-workload-9,node2,Succeeded,2026-05-18T10:20:02Z
1779099681,fusion-workload-1,node2,Succeeded,2026-05-18T10:19:20Z
1779099681,fusion-workload-10,node2,Succeeded,2026-05-18T10:20:09Z
1779099681,fusion-workload-11,node2,Succeeded,2026-05-18T10:20:15Z
1779099681,fusion-workload-12,node2,Succeeded,2026-05-18T10:20:21Z
1779099681,fusion-workload-13,node2,Succeeded,2026-05-18T10:20:26Z
1779099681,fusion-workload-14,node2,Succeeded,2026-05-18T10:20:32Z
1779099681,fusion-workload-15,node2,Succeeded,2026-05-18T10:20:38Z
1779099681,fusion-workload-16,node2,Succeeded,2026-05-18T10:20:44Z
1779099681,fusion-workload-17,node1,Succeeded,2026-05-18T10:20:44Z
1779099681,fusion-workload-18,node2,Succeeded,2026-05-18T10:20:49Z
1779099681,fusion-workload-19,node2,Succeeded,2026-05-18T10:20:56Z
1779099681,fusion-workload-2,node2,Succeeded,2026-05-18T10:19:27Z
1779099681,fusion-workload-20,node2,Succeeded,2026-05-18T10:21:01Z
1779099681,fusion-workload-21,node2,Succeeded,2026-05-18T10:21:06Z
1779099681,fusion-workload-22,node2,Succeeded,2026-05-18T10:21:12Z
1779099681,fusion-workload-23,node2,Running,2026-05-18T10:21:18Z
1779099681,fusion-workload-3,node1,Succeeded,2026-05-18T10:19:31Z
1779099681,fusion-workload-4,node3,Succeeded,2026-05-18T10:19:36Z
1779099681,fusion-workload-5,node2,Succeeded,2026-05-18T10:19:41Z
1779099681,fusion-workload-6,node2,Succeeded,2026-05-18T10:19:48Z
1779099681,fusion-workload-7,node2,Succeeded,2026-05-18T10:19:55Z
1779099681,fusion-workload-8,node3,Succeeded,2026-05-18T10:19:57Z
1779099681,fusion-workload-9,node2,Succeeded,2026-05-18T10:20:02Z
1779099711,fusion-workload-1,node2,Succeeded,2026-05-18T10:19:20Z
1779099711,fusion-workload-10,node2,Succeeded,2026-05-18T10:20:09Z
1779099711,fusion-workload-11,node2,Succeeded,2026-05-18T10:20:15Z
