deploy_ts,pod_name,workload_type,scheduler
1779085385.029054776,mongo-workload-1,mongo,dqn-scheduler
1779085391.290070645,postgre-workload-1,postgre,dqn-scheduler
1779085397.546210956,fusion-workload-1,fusion,dqn-scheduler
1779085403.799774700,fusion-v2-workload-1,fusion-v2,dqn-scheduler
1779085409.042810578,mongo-workload-2,mongo,dqn-scheduler
1779085413.307734101,postgre-workload-2,postgre,dqn-scheduler
1779085419.549197547,fusion-workload-2,fusion,dqn-scheduler
1779085424.795644761,fusion-v2-workload-2,fusion-v2,dqn-scheduler
1779085429.047344638,mongo-workload-3,mongo,dqn-scheduler
1779085436.320023384,postgre-workload-3,postgre,dqn-scheduler
1779085441.569537955,fusion-workload-3,fusion,dqn-scheduler
1779085446.841056191,fusion-v2-workload-3,fusion-v2,dqn-scheduler
1779085451.108713454,mongo-workload-4,mongo,dqn-scheduler
1779085456.374066036,postgre-workload-4,postgre,dqn-scheduler
1779085462.623513548,fusion-workload-4,fusion,dqn-scheduler
1779085467.867868631,fusion-v2-workload-4,fusion-v2,dqn-scheduler
1779085472.114186499,mongo-workload-5,mongo,dqn-scheduler
1779085477.373562550,postgre-workload-5,postgre,dqn-scheduler
1779085481.676168140,fusion-workload-5,fusion,dqn-scheduler
1779085485.929967658,fusion-v2-workload-5,fusion-v2,dqn-scheduler
1779085491.184156435,mongo-workload-6,mongo,dqn-scheduler
1779085496.455443708,postgre-workload-6,postgre,dqn-scheduler
1779085501.721988181,fusion-workload-6,fusion,dqn-scheduler
1779085506.974164118,fusion-v2-workload-6,fusion-v2,dqn-scheduler
1779085512.215948926,mongo-workload-7,mongo,dqn-scheduler
1779085516.484195745,postgre-workload-7,postgre,dqn-scheduler
1779085521.747107667,fusion-workload-7,fusion,dqn-scheduler
1779085524.994594143,fusion-v2-workload-7,fusion-v2,dqn-scheduler
1779085531.239502585,mongo-workload-8,mongo,dqn-scheduler
1779085536.480257447,postgre-workload-8,postgre,dqn-scheduler
1779085542.717041282,fusion-workload-8,fusion,dqn-scheduler
1779085546.959624514,fusion-v2-workload-8,fusion-v2,dqn-scheduler
1779085551.212022848,mongo-workload-9,mongo,dqn-scheduler
1779085556.469920419,postgre-workload-9,postgre,dqn-scheduler
1779085560.733152423,fusion-workload-9,fusion,dqn-scheduler
1779085564.989645285,fusion-v2-workload-9,fusion-v2,dqn-scheduler
1779085568.236244557,mongo-workload-10,mongo,dqn-scheduler
1779085572.483263149,postgre-workload-10,postgre,dqn-scheduler
1779085575.727554691,fusion-workload-10,fusion,dqn-scheduler
1779085580.982264389,fusion-v2-workload-10,fusion-v2,dqn-scheduler
1779085586.229386828,mongo-workload-11,mongo,dqn-scheduler
1779085589.473234918,postgre-workload-11,postgre,dqn-scheduler
1779085593.757159318,fusion-workload-11,fusion,dqn-scheduler
1779085598.043659645,fusion-v2-workload-11,fusion-v2,dqn-scheduler
1779085602.310568187,mongo-workload-12,mongo,dqn-scheduler
1779085607.559180410,postgre-workload-12,postgre,dqn-scheduler
1779085611.808586770,fusion-workload-12,fusion,dqn-scheduler
1779085616.073790148,fusion-v2-workload-12,fusion-v2,dqn-scheduler
1779085620.311449204,mongo-workload-13,mongo,dqn-scheduler
1779085624.574900824,postgre-workload-13,postgre,dqn-scheduler
1779085628.830793926,fusion-workload-13,fusion,dqn-scheduler
1779085633.134412073,fusion-v2-workload-13,fusion-v2,dqn-scheduler
1779085638.394539354,mongo-workload-14,mongo,dqn-scheduler
1779085640.748995915,postgre-workload-14,postgre,dqn-scheduler
1779085645.015302085,fusion-workload-14,fusion,dqn-scheduler
1779085648.310367990,fusion-v2-workload-14,fusion-v2,dqn-scheduler
1779085653.586085843,mongo-workload-15,mongo,dqn-scheduler
1779085657.884221311,postgre-workload-15,postgre,dqn-scheduler
1779085662.162113412,fusion-workload-15,fusion,dqn-scheduler
1779085668.441421696,fusion-v2-workload-15,fusion-v2,dqn-scheduler
1779085674.734572553,mongo-workload-16,mongo,dqn-scheduler
1779085679.005444226,postgre-workload-16,postgre,dqn-scheduler
1779085683.278883251,fusion-workload-16,fusion,dqn-scheduler
1779085687.539581470,fusion-v2-workload-16,fusion-v2,dqn-scheduler
1779085693.794953654,mongo-workload-17,mongo,dqn-scheduler
1779085698.057479046,postgre-workload-17,postgre,dqn-scheduler
1779085704.310694088,fusion-workload-17,fusion,dqn-scheduler
1779085708.579389380,fusion-v2-workload-17,fusion-v2,dqn-scheduler
1779085713.865338861,mongo-workload-18,mongo,dqn-scheduler
1779085720.110558262,postgre-workload-18,postgre,dqn-scheduler
1779085724.388139199,fusion-workload-18,fusion,dqn-scheduler
1779085728.659469273,fusion-v2-workload-18,fusion-v2,dqn-scheduler
1779085732.918728427,mongo-workload-19,mongo,dqn-scheduler
1779085737.202190308,postgre-workload-19,postgre,dqn-scheduler
1779085740.476847662,fusion-workload-19,fusion,dqn-scheduler
1779085744.745229945,fusion-v2-workload-19,fusion-v2,dqn-scheduler
1779085749.997410544,mongo-workload-20,mongo,dqn-scheduler
1779085754.283153894,postgre-workload-20,postgre,dqn-scheduler
1779085760.574634877,fusion-workload-20,fusion,dqn-scheduler
1779085765.934902455,fusion-v2-workload-20,fusion-v2,dqn-scheduler
1779085771.218348274,mongo-workload-21,mongo,dqn-scheduler
1779085776.484806480,postgre-workload-21,postgre,dqn-scheduler
1779085780.887945808,fusion-workload-21,fusion,dqn-scheduler
1779085786.139548217,fusion-v2-workload-21,fusion-v2,dqn-scheduler
1779085791.407076867,mongo-workload-22,mongo,dqn-scheduler
1779085797.678607964,postgre-workload-22,postgre,dqn-scheduler
1779085801.939979505,fusion-workload-22,fusion,dqn-scheduler
1779085808.216268975,fusion-v2-workload-22,fusion-v2,dqn-scheduler
1779085811.479947999,mongo-workload-23,mongo,dqn-scheduler
1779085817.739682609,postgre-workload-23,postgre,dqn-scheduler
1779085821.997497412,fusion-workload-23,fusion,dqn-scheduler
1779085826.255925473,fusion-v2-workload-23,fusion-v2,dqn-scheduler
1779085830.533254983,mongo-workload-24,mongo,dqn-scheduler
1779085834.788068407,postgre-workload-24,postgre,dqn-scheduler
1779085840.053656979,fusion-workload-24,fusion,dqn-scheduler
1779085844.302031214,fusion-v2-workload-24,fusion-v2,dqn-scheduler
1779085850.549159464,mongo-workload-25,mongo,dqn-scheduler
1779085855.815179636,postgre-workload-25,postgre,dqn-scheduler
1779085861.084662312,fusion-workload-25,fusion,dqn-scheduler
1779085866.329950594,fusion-v2-workload-25,fusion-v2,dqn-scheduler
1779085872.600365485,mongo-workload-26,mongo,dqn-scheduler
1779085875.869364122,postgre-workload-26,postgre,dqn-scheduler
1779085881.120015244,fusion-workload-26,fusion,dqn-scheduler
1779085887.377425580,fusion-v2-workload-26,fusion-v2,dqn-scheduler
1779085893.618645368,mongo-workload-27,mongo,dqn-scheduler
1779085897.884311891,postgre-workload-27,postgre,dqn-scheduler
1779085901.135124312,fusion-workload-27,fusion,dqn-scheduler
1779085906.384258984,fusion-v2-workload-27,fusion-v2,dqn-scheduler
1779085910.623443352,mongo-workload-28,mongo,dqn-scheduler
1779085916.881488467,postgre-workload-28,postgre,dqn-scheduler
1779085922.167739809,fusion-workload-28,fusion,dqn-scheduler
1779085927.438813420,fusion-v2-workload-28,fusion-v2,dqn-scheduler
1779085931.690813430,mongo-workload-29,mongo,dqn-scheduler
1779085936.984005804,postgre-workload-29,postgre,dqn-scheduler
1779085940.240277100,fusion-workload-29,fusion,dqn-scheduler
1779085943.497088248,fusion-v2-workload-29,fusion-v2,dqn-scheduler
1779085946.749645946,mongo-workload-30,mongo,dqn-scheduler
1779085951.018960311,postgre-workload-30,postgre,dqn-scheduler
1779085956.264894428,fusion-workload-30,fusion,dqn-scheduler
1779085961.523936430,fusion-v2-workload-30,fusion-v2,dqn-scheduler
1779085966.796727696,mongo-workload-31,mongo,dqn-scheduler
1779085971.057277996,postgre-workload-31,postgre,dqn-scheduler
1779085976.328655436,fusion-workload-31,fusion,dqn-scheduler
1779085981.588366227,fusion-v2-workload-31,fusion-v2,dqn-scheduler
1779085986.839909744,mongo-workload-32,mongo,dqn-scheduler
1779085993.116924253,postgre-workload-32,postgre,dqn-scheduler
1779085999.384315984,fusion-workload-32,fusion,dqn-scheduler
1779086005.647758327,fusion-v2-workload-32,fusion-v2,dqn-scheduler
1779086010.921406894,mongo-workload-33,mongo,dqn-scheduler
1779086015.167973400,postgre-workload-33,postgre,dqn-scheduler
1779086018.424605114,fusion-workload-33,fusion,dqn-scheduler
1779086024.692251115,fusion-v2-workload-33,fusion-v2,dqn-scheduler
1779086028.983484732,mongo-workload-34,mongo,dqn-scheduler
1779086032.216622366,postgre-workload-34,postgre,dqn-scheduler
1779086038.466206621,fusion-workload-34,fusion,dqn-scheduler
1779086044.754409745,fusion-v2-workload-34,fusion-v2,dqn-scheduler
1779086049.028554774,mongo-workload-35,mongo,dqn-scheduler
1779086053.331067987,postgre-workload-35,postgre,dqn-scheduler
1779086058.589309720,fusion-workload-35,fusion,dqn-scheduler
1779086064.858893908,fusion-v2-workload-35,fusion-v2,dqn-scheduler
1779086071.130891750,mongo-workload-36,mongo,dqn-scheduler
1779086073.370887555,postgre-workload-36,postgre,dqn-scheduler
1779086076.625542483,fusion-workload-36,fusion,dqn-scheduler
1779086080.902426788,fusion-v2-workload-36,fusion-v2,dqn-scheduler
1779086086.165626623,mongo-workload-37,mongo,dqn-scheduler
1779086088.426312225,postgre-workload-37,postgre,dqn-scheduler
1779086093.698845611,fusion-workload-37,fusion,dqn-scheduler
1779086096.972124895,fusion-v2-workload-37,fusion-v2,dqn-scheduler
1779086101.262765775,mongo-workload-38,mongo,dqn-scheduler
1779086104.514349170,postgre-workload-38,postgre,dqn-scheduler
1779086109.792641917,fusion-workload-38,fusion,dqn-scheduler
1779086114.085495145,fusion-v2-workload-38,fusion-v2,dqn-scheduler
1779086121.356798546,mongo-workload-39,mongo,dqn-scheduler
1779086123.624290666,postgre-workload-39,postgre,dqn-scheduler
1779086127.882895782,fusion-workload-39,fusion,dqn-scheduler
1779086132.162281109,fusion-v2-workload-39,fusion-v2,dqn-scheduler
1779086136.420336765,mongo-workload-40,mongo,dqn-scheduler
1779086140.691937049,postgre-workload-40,postgre,dqn-scheduler
1779086145.955032929,fusion-workload-40,fusion,dqn-scheduler
1779086149.229635935,fusion-v2-workload-40,fusion-v2,dqn-scheduler
1779086154.540078745,mongo-workload-41,mongo,dqn-scheduler
1779086158.802905022,postgre-workload-41,postgre,dqn-scheduler
1779086163.085650241,fusion-workload-41,fusion,dqn-scheduler
1779086169.374706537,fusion-v2-workload-41,fusion-v2,dqn-scheduler
1779086174.649135268,mongo-workload-42,mongo,dqn-scheduler
1779086178.915895805,postgre-workload-42,postgre,dqn-scheduler
1779086185.198722603,fusion-workload-42,fusion,dqn-scheduler
1779086190.455704774,fusion-v2-workload-42,fusion-v2,dqn-scheduler
1779086196.761287861,mongo-workload-43,mongo,dqn-scheduler
1779086200.020696261,postgre-workload-43,postgre,dqn-scheduler
1779086205.289339308,fusion-workload-43,fusion,dqn-scheduler
1779086209.557746196,fusion-v2-workload-43,fusion-v2,dqn-scheduler
1779086213.825071232,mongo-workload-44,mongo,dqn-scheduler
1779086219.088046488,postgre-workload-44,postgre,dqn-scheduler
1779086222.343508861,fusion-workload-44,fusion,dqn-scheduler
1779086226.607733916,fusion-v2-workload-44,fusion-v2,dqn-scheduler
1779086231.858230514,mongo-workload-45,mongo,dqn-scheduler
1779086236.128159786,postgre-workload-45,postgre,dqn-scheduler
1779086240.389645361,fusion-workload-45,fusion,dqn-scheduler
1779086243.663631753,fusion-v2-workload-45,fusion-v2,dqn-scheduler
1779086247.926790915,mongo-workload-46,mongo,dqn-scheduler
1779086252.186931174,postgre-workload-46,postgre,dqn-scheduler
1779086257.471027078,fusion-workload-46,fusion,dqn-scheduler
1779086262.730409115,fusion-v2-workload-46,fusion-v2,dqn-scheduler
1779086269.002818110,mongo-workload-47,mongo,dqn-scheduler
1779086271.272380861,postgre-workload-47,postgre,dqn-scheduler
1779086276.541459443,fusion-workload-47,fusion,dqn-scheduler
1779086280.806501773,fusion-v2-workload-47,fusion-v2,dqn-scheduler
1779086286.081520488,mongo-workload-48,mongo,dqn-scheduler
1779086291.346860572,postgre-workload-48,postgre,dqn-scheduler
1779086295.656687274,fusion-workload-48,fusion,dqn-scheduler
1779086302.911623839,fusion-v2-workload-48,fusion-v2,dqn-scheduler
1779086307.169428883,mongo-workload-49,mongo,dqn-scheduler
1779086310.448574905,postgre-workload-49,postgre,dqn-scheduler
1779086314.697740696,fusion-workload-49,fusion,dqn-scheduler
1779086318.945719075,fusion-v2-workload-49,fusion-v2,dqn-scheduler
1779086325.222641208,mongo-workload-50,mongo,dqn-scheduler
1779086329.461598205,postgre-workload-50,postgre,dqn-scheduler
1779086334.756294853,fusion-workload-50,fusion,dqn-scheduler
1779086339.030485450,fusion-v2-workload-50,fusion-v2,dqn-scheduler
