snapshot_ts,pod_name,node_name,phase,start_time
1779121282,cpu-workload-1,node4,Failed,2026-05-18T16:21:10Z
1779121282,fusion-workload-1,node4,Succeeded,2026-05-18T16:21:04Z
1779121282,mongo-workload-1,node4,Succeeded,2026-05-18T16:20:53Z
1779121282,mongo-workload-2,node4,Succeeded,2026-05-18T16:21:14Z
1779121282,postgre-workload-1,node4,Succeeded,2026-05-18T16:21:00Z
1779121282,postgre-workload-2,node4,Running,2026-05-18T16:21:20Z
1779121312,cpu-workload-1,node4,Failed,2026-05-18T16:21:10Z
1779121312,cpu-workload-2,,Pending,
1779121312,cpu-workload-3,,Pending,
1779121312,fusion-workload-1,node4,Succeeded,2026-05-18T16:21:04Z
1779121312,fusion-workload-2,node4,Running,2026-05-18T16:21:24Z
1779121312,fusion-workload-3,node3,Succeeded,2026-05-18T16:21:45Z
1779121312,mongo-workload-1,node4,Succeeded,2026-05-18T16:20:53Z
1779121312,mongo-workload-2,node4,Succeeded,2026-05-18T16:21:14Z
1779121312,mongo-workload-3,,Pending,
1779121312,postgre-workload-1,node4,Succeeded,2026-05-18T16:21:00Z
1779121312,postgre-workload-2,node4,Succeeded,2026-05-18T16:21:20Z
1779121312,postgre-workload-3,node3,Pending,2026-05-18T16:21:52Z
1779121343,cpu-workload-1,node4,Failed,2026-05-18T16:21:10Z
1779121343,cpu-workload-2,,Pending,
1779121343,cpu-workload-3,node3,Failed,2026-05-18T16:21:56Z
1779121343,cpu-workload-4,node3,Failed,2026-05-18T16:22:08Z
1779121343,fusion-workload-1,node4,Succeeded,2026-05-18T16:21:04Z
1779121343,fusion-workload-2,node4,Running,2026-05-18T16:21:24Z
1779121343,fusion-workload-3,node3,Succeeded,2026-05-18T16:21:45Z
1779121343,fusion-workload-4,node3,Succeeded,2026-05-18T16:22:02Z
1779121343,fusion-workload-5,node1,Running,2026-05-18T16:22:21Z
1779121343,mongo-workload-1,node4,Succeeded,2026-05-18T16:20:53Z
1779121343,mongo-workload-2,node4,Succeeded,2026-05-18T16:21:14Z
1779121343,mongo-workload-3,,Pending,
1779121343,mongo-workload-4,node2,Running,2026-05-18T16:21:54Z
1779121343,mongo-workload-5,,Pending,
1779121343,postgre-workload-1,node4,Succeeded,2026-05-18T16:21:00Z
1779121343,postgre-workload-2,node4,Succeeded,2026-05-18T16:21:20Z
1779121343,postgre-workload-3,node3,Succeeded,2026-05-18T16:21:52Z
1779121343,postgre-workload-4,,Pending,
1779121343,postgre-workload-5,node1,Succeeded,2026-05-18T16:22:16Z
1779121373,cpu-workload-1,node4,Failed,2026-05-18T16:21:10Z
1779121373,cpu-workload-2,,Pending,
1779121373,cpu-workload-3,node3,Failed,2026-05-18T16:21:56Z
1779121373,cpu-workload-4,node3,Failed,2026-05-18T16:22:08Z
1779121373,cpu-workload-5,,Pending,
1779121373,cpu-workload-6,,Pending,
1779121373,fusion-workload-1,node4,Succeeded,2026-05-18T16:21:04Z
1779121373,fusion-workload-2,node4,Succeeded,2026-05-18T16:21:24Z
1779121373,fusion-workload-3,node3,Succeeded,2026-05-18T16:21:45Z
1779121373,fusion-workload-4,node3,Succeeded,2026-05-18T16:22:02Z
1779121373,fusion-workload-5,node1,Succeeded,2026-05-18T16:22:21Z
1779121373,fusion-workload-6,node3,Succeeded,2026-05-18T16:22:45Z
1779121373,mongo-workload-1,node4,Succeeded,2026-05-18T16:20:53Z
1779121373,mongo-workload-2,node4,Succeeded,2026-05-18T16:21:14Z
1779121373,mongo-workload-3,,Pending,
1779121373,mongo-workload-4,node2,Running,2026-05-18T16:21:54Z
1779121373,mongo-workload-5,node4,Pending,2026-05-18T16:22:45Z
1779121373,mongo-workload-6,,Pending,
1779121373,mongo-workload-7,,Pending,
1779121373,postgre-workload-1,node4,Succeeded,2026-05-18T16:21:00Z
1779121373,postgre-workload-2,node4,Succeeded,2026-05-18T16:21:20Z
1779121373,postgre-workload-3,node3,Succeeded,2026-05-18T16:21:52Z
1779121373,postgre-workload-4,,Pending,
1779121373,postgre-workload-5,node1,Succeeded,2026-05-18T16:22:16Z
1779121373,postgre-workload-6,,Pending,
1779121403,cpu-workload-1,node4,Failed,2026-05-18T16:21:10Z
1779121403,cpu-workload-2,,Pending,
1779121403,cpu-workload-3,node3,Failed,2026-05-18T16:21:56Z
1779121403,cpu-workload-4,node3,Failed,2026-05-18T16:22:08Z
1779121403,cpu-workload-5,,Pending,
1779121403,cpu-workload-6,,Pending,
1779121403,cpu-workload-7,node3,Failed,2026-05-18T16:23:06Z
1779121403,cpu-workload-8,,Pending,
