deploy_ts,pod_name,workload_type,scheduler
1779082891.567392028,fusion-workload-1,fusion,default-scheduler
1779082896.821859594,fusion-workload-2,fusion,default-scheduler
1779082902.084633770,fusion-workload-3,fusion,default-scheduler
1779082907.298886149,fusion-workload-4,fusion,default-scheduler
1779082912.526650383,fusion-workload-5,fusion,default-scheduler
1779082917.769947709,fusion-workload-6,fusion,default-scheduler
1779082922.995676763,fusion-workload-7,fusion,default-scheduler
1779082928.231722620,fusion-workload-8,fusion,default-scheduler
1779082933.469182635,fusion-workload-9,fusion,default-scheduler
1779082938.687794624,fusion-workload-10,fusion,default-scheduler
1779082943.911882229,fusion-workload-11,fusion,default-scheduler
1779082949.153185251,fusion-workload-12,fusion,default-scheduler
1779082954.391754097,fusion-workload-13,fusion,default-scheduler
1779082959.629545905,fusion-workload-14,fusion,default-scheduler
1779082964.858981932,fusion-workload-15,fusion,default-scheduler
1779082970.079274944,fusion-workload-16,fusion,default-scheduler
1779082975.305244199,fusion-workload-17,fusion,default-scheduler
1779082980.514855049,fusion-workload-18,fusion,default-scheduler
1779082985.756389571,fusion-workload-19,fusion,default-scheduler
1779082990.996116526,fusion-workload-20,fusion,default-scheduler
1779082996.228636590,fusion-workload-21,fusion,default-scheduler
1779083001.443525218,fusion-workload-22,fusion,default-scheduler
1779083006.664471189,fusion-workload-23,fusion,default-scheduler
1779083011.899016933,fusion-workload-24,fusion,default-scheduler
1779083017.156975931,fusion-workload-25,fusion,default-scheduler
1779083022.381901607,fusion-workload-26,fusion,default-scheduler
1779083027.595733403,fusion-workload-27,fusion,default-scheduler
1779083032.819325460,fusion-workload-28,fusion,default-scheduler
1779083038.050764330,fusion-workload-29,fusion,default-scheduler
1779083043.281597146,fusion-workload-30,fusion,default-scheduler
1779083048.495440577,fusion-workload-31,fusion,default-scheduler
1779083053.720591583,fusion-workload-32,fusion,default-scheduler
1779083058.950782844,fusion-workload-33,fusion,default-scheduler
1779083064.177151822,fusion-workload-34,fusion,default-scheduler
1779083069.404383608,fusion-workload-35,fusion,default-scheduler
1779083074.640656336,fusion-workload-36,fusion,default-scheduler
1779083079.859515172,fusion-workload-37,fusion,default-scheduler
1779083085.103436524,fusion-workload-38,fusion,default-scheduler
1779083090.334042909,fusion-workload-39,fusion,default-scheduler
1779083095.554420610,fusion-workload-40,fusion,default-scheduler
1779083100.776763863,fusion-workload-41,fusion,default-scheduler
1779083106.006796522,fusion-workload-42,fusion,default-scheduler
1779083111.233350638,fusion-workload-43,fusion,default-scheduler
1779083116.459192128,fusion-workload-44,fusion,default-scheduler
1779083121.696272787,fusion-workload-45,fusion,default-scheduler
1779083126.934235527,fusion-workload-46,fusion,default-scheduler
1779083132.163593179,fusion-workload-47,fusion,default-scheduler
1779083137.381212012,fusion-workload-48,fusion,default-scheduler
1779083142.607514796,fusion-workload-49,fusion,default-scheduler
1779083147.851656146,fusion-workload-50,fusion,default-scheduler
1779083153.074584946,fusion-workload-51,fusion,default-scheduler
1779083158.306386942,fusion-workload-52,fusion,default-scheduler
1779083163.540275862,fusion-workload-53,fusion,default-scheduler
1779083168.829281960,fusion-workload-54,fusion,default-scheduler
1779083174.061812284,fusion-workload-55,fusion,default-scheduler
1779083179.299280977,fusion-workload-56,fusion,default-scheduler
1779083184.533571492,fusion-workload-57,fusion,default-scheduler
1779083189.792554581,fusion-workload-58,fusion,default-scheduler
1779083195.013845002,fusion-workload-59,fusion,default-scheduler
1779083200.261418238,fusion-workload-60,fusion,default-scheduler
1779083205.494539351,fusion-workload-61,fusion,default-scheduler
1779083210.720879128,fusion-workload-62,fusion,default-scheduler
1779083215.937579339,fusion-workload-63,fusion,default-scheduler
1779083221.159380616,fusion-workload-64,fusion,default-scheduler
1779083226.394821045,fusion-workload-65,fusion,default-scheduler
1779083231.640002973,fusion-workload-66,fusion,default-scheduler
1779083236.863698454,fusion-workload-67,fusion,default-scheduler
1779083242.200602489,fusion-workload-68,fusion,default-scheduler
1779083247.414882468,fusion-workload-69,fusion,default-scheduler
1779083252.649927352,fusion-workload-70,fusion,default-scheduler
1779083257.881897926,fusion-workload-71,fusion,default-scheduler
1779083263.088495858,fusion-workload-72,fusion,default-scheduler
1779083268.309023865,fusion-workload-73,fusion,default-scheduler
1779083273.530191748,fusion-workload-74,fusion,default-scheduler
1779083278.756815779,fusion-workload-75,fusion,default-scheduler
1779083283.977097765,fusion-workload-76,fusion,default-scheduler
1779083289.204637126,fusion-workload-77,fusion,default-scheduler
1779083294.418582111,fusion-workload-78,fusion,default-scheduler
1779083299.687598521,fusion-workload-79,fusion,default-scheduler
1779083304.907245651,fusion-workload-80,fusion,default-scheduler
1779083310.173453633,fusion-workload-81,fusion,default-scheduler
1779083315.458492402,fusion-workload-82,fusion,default-scheduler
1779083320.707589006,fusion-workload-83,fusion,default-scheduler
1779083325.930360037,fusion-workload-84,fusion,default-scheduler
1779083331.151355417,fusion-workload-85,fusion,default-scheduler
1779083336.380160480,fusion-workload-86,fusion,default-scheduler
1779083341.620948951,fusion-workload-87,fusion,default-scheduler
1779083346.904166868,fusion-workload-88,fusion,default-scheduler
1779083352.116862635,fusion-workload-89,fusion,default-scheduler
1779083357.349455658,fusion-workload-90,fusion,default-scheduler
1779083362.562564418,fusion-workload-91,fusion,default-scheduler
1779083367.790720992,fusion-workload-92,fusion,default-scheduler
1779083373.056862230,fusion-workload-93,fusion,default-scheduler
1779083378.289182931,fusion-workload-94,fusion,default-scheduler
1779083383.533416523,fusion-workload-95,fusion,default-scheduler
1779083388.750101620,fusion-workload-96,fusion,default-scheduler
1779083393.988151766,fusion-workload-97,fusion,default-scheduler
1779083399.219982742,fusion-workload-98,fusion,default-scheduler
1779083404.447098484,fusion-workload-99,fusion,default-scheduler
1779083409.679504793,fusion-workload-100,fusion,default-scheduler
1779083414.902371699,fusion-workload-101,fusion,default-scheduler
1779083420.139190445,fusion-workload-102,fusion,default-scheduler
1779083425.387846479,fusion-workload-103,fusion,default-scheduler
1779083430.618291263,fusion-workload-104,fusion,default-scheduler
1779083435.847208671,fusion-workload-105,fusion,default-scheduler
1779083441.064060568,fusion-workload-106,fusion,default-scheduler
1779083446.265941107,fusion-workload-107,fusion,default-scheduler
1779083451.480415719,fusion-workload-108,fusion,default-scheduler
1779083456.868145232,fusion-workload-109,fusion,default-scheduler
1779083462.084558787,fusion-workload-110,fusion,default-scheduler
1779083467.315038043,fusion-workload-111,fusion,default-scheduler
1779083472.545360262,fusion-workload-112,fusion,default-scheduler
1779083477.795446399,fusion-workload-113,fusion,default-scheduler
1779083483.029148000,fusion-workload-114,fusion,default-scheduler
1779083488.257197732,fusion-workload-115,fusion,default-scheduler
1779083493.488110696,fusion-workload-116,fusion,default-scheduler
1779083498.744375547,fusion-workload-117,fusion,default-scheduler
1779083503.955269042,fusion-workload-118,fusion,default-scheduler
1779083509.185307503,fusion-workload-119,fusion,default-scheduler
1779083514.407884795,fusion-workload-120,fusion,default-scheduler
1779083519.657167270,fusion-workload-121,fusion,default-scheduler
1779083524.878437194,fusion-workload-122,fusion,default-scheduler
1779083530.139234502,fusion-workload-123,fusion,default-scheduler
1779083535.381080488,fusion-workload-124,fusion,default-scheduler
1779083540.631071762,fusion-workload-125,fusion,default-scheduler
1779083545.895107412,fusion-workload-126,fusion,default-scheduler
1779083551.106298557,fusion-workload-127,fusion,default-scheduler
1779083556.323647933,fusion-workload-128,fusion,default-scheduler
1779083561.562677879,fusion-workload-129,fusion,default-scheduler
1779083566.795988415,fusion-workload-130,fusion,default-scheduler
1779083572.004379656,fusion-workload-131,fusion,default-scheduler
1779083577.246847013,fusion-workload-132,fusion,default-scheduler
1779083582.477556765,fusion-workload-133,fusion,default-scheduler
1779083587.710949677,fusion-workload-134,fusion,default-scheduler
1779083592.968247416,fusion-workload-135,fusion,default-scheduler
1779083598.182929499,fusion-workload-136,fusion,default-scheduler
1779083603.421602537,fusion-workload-137,fusion,default-scheduler
1779083608.660048221,fusion-workload-138,fusion,default-scheduler
1779083613.890312704,fusion-workload-139,fusion,default-scheduler
1779083619.113150906,fusion-workload-140,fusion,default-scheduler
1779083624.342679795,fusion-workload-141,fusion,default-scheduler
1779083629.563540454,fusion-workload-142,fusion,default-scheduler
1779083634.806894878,fusion-workload-143,fusion,default-scheduler
1779083640.052170315,fusion-workload-144,fusion,default-scheduler
1779083645.282980121,fusion-workload-145,fusion,default-scheduler
1779083650.524036864,fusion-workload-146,fusion,default-scheduler
1779083655.758023449,fusion-workload-147,fusion,default-scheduler
1779083660.986247479,fusion-workload-148,fusion,default-scheduler
1779083666.218388338,fusion-workload-149,fusion,default-scheduler
1779083671.438007810,fusion-workload-150,fusion,default-scheduler
1779083676.670435467,fusion-workload-151,fusion,default-scheduler
1779083681.948942726,fusion-workload-152,fusion,default-scheduler
1779083687.209626189,fusion-workload-153,fusion,default-scheduler
1779083692.434023116,fusion-workload-154,fusion,default-scheduler
1779083697.659147311,fusion-workload-155,fusion,default-scheduler
1779083702.907099384,fusion-workload-156,fusion,default-scheduler
1779083708.142129250,fusion-workload-157,fusion,default-scheduler
1779083713.371345669,fusion-workload-158,fusion,default-scheduler
1779083718.681042714,fusion-workload-159,fusion,default-scheduler
1779083723.923957826,fusion-workload-160,fusion,default-scheduler
1779083729.161198773,fusion-workload-161,fusion,default-scheduler
