deploy_ts,pod_name,workload_type,scheduler
1779080183.961488127,mongo-workload-1,mongo,default-scheduler
1779080187.232504736,postgre-workload-1,postgre,default-scheduler
1779080190.472337963,fusion-workload-1,fusion,default-scheduler
1779080193.706577826,fusion-v2-workload-1,fusion-v2,default-scheduler
1779080198.972042857,mongo-workload-2,mongo,default-scheduler
1779080204.203657775,postgre-workload-2,postgre,default-scheduler
1779080209.442627149,fusion-workload-2,fusion,default-scheduler
1779080214.703807118,fusion-v2-workload-2,fusion-v2,default-scheduler
1779080221.006108233,mongo-workload-3,mongo,default-scheduler
1779080226.249799945,postgre-workload-3,postgre,default-scheduler
1779080230.485086550,fusion-workload-3,fusion,default-scheduler
1779080235.728080293,fusion-v2-workload-3,fusion-v2,default-scheduler
1779080239.965625392,mongo-workload-4,mongo,default-scheduler
1779080244.218744812,postgre-workload-4,postgre,default-scheduler
1779080249.460348278,fusion-workload-4,fusion,default-scheduler
1779080252.711068851,fusion-v2-workload-4,fusion-v2,default-scheduler
1779080255.961633293,mongo-workload-5,mongo,default-scheduler
1779080261.215004309,postgre-workload-5,postgre,default-scheduler
1779080264.460388940,fusion-workload-5,fusion,default-scheduler
1779080269.712860370,fusion-v2-workload-5,fusion-v2,default-scheduler
1779080273.990345953,mongo-workload-6,mongo,default-scheduler
1779080280.228447645,postgre-workload-6,postgre,default-scheduler
1779080285.476054100,fusion-workload-6,fusion,default-scheduler
1779080291.751611594,fusion-v2-workload-6,fusion-v2,default-scheduler
1779080294.989962994,mongo-workload-7,mongo,default-scheduler
1779080299.242182627,postgre-workload-7,postgre,default-scheduler
1779080303.491922975,fusion-workload-7,fusion,default-scheduler
1779080307.733641011,fusion-v2-workload-7,fusion-v2,default-scheduler
1779080312.974739400,mongo-workload-8,mongo,default-scheduler
1779080317.221934824,postgre-workload-8,postgre,default-scheduler
1779080320.484703580,fusion-workload-8,fusion,default-scheduler
1779080324.723805366,fusion-v2-workload-8,fusion-v2,default-scheduler
1779080329.962011127,mongo-workload-9,mongo,default-scheduler
1779080334.212902072,postgre-workload-9,postgre,default-scheduler
1779080338.459430013,fusion-workload-9,fusion,default-scheduler
1779080342.701992047,fusion-v2-workload-9,fusion-v2,default-scheduler
1779080347.955735399,mongo-workload-10,mongo,default-scheduler
1779080354.207601750,postgre-workload-10,postgre,default-scheduler
1779080357.449445493,fusion-workload-10,fusion,default-scheduler
1779080360.717131364,fusion-v2-workload-10,fusion-v2,default-scheduler
1779080365.953815542,mongo-workload-11,mongo,default-scheduler
1779080370.222666727,postgre-workload-11,postgre,default-scheduler
1779080374.451954974,fusion-workload-11,fusion,default-scheduler
1779080379.699453827,fusion-v2-workload-11,fusion-v2,default-scheduler
1779080384.957703140,mongo-workload-12,mongo,default-scheduler
1779080390.221039276,postgre-workload-12,postgre,default-scheduler
1779080395.480218444,fusion-workload-12,fusion,default-scheduler
1779080400.732927249,fusion-v2-workload-12,fusion-v2,default-scheduler
1779080404.971531392,mongo-workload-13,mongo,default-scheduler
1779080408.221948103,postgre-workload-13,postgre,default-scheduler
1779080411.487032594,fusion-workload-13,fusion,default-scheduler
1779080416.762089576,fusion-v2-workload-13,fusion-v2,default-scheduler
1779080422.019456087,mongo-workload-14,mongo,default-scheduler
1779080425.264338554,postgre-workload-14,postgre,default-scheduler
1779080429.499156820,fusion-workload-14,fusion,default-scheduler
1779080434.748140189,fusion-v2-workload-14,fusion-v2,default-scheduler
1779080439.999318938,mongo-workload-15,mongo,default-scheduler
1779080444.254369408,postgre-workload-15,postgre,default-scheduler
1779080446.502082456,fusion-workload-15,fusion,default-scheduler
1779080450.757085896,fusion-v2-workload-15,fusion-v2,default-scheduler
1779080454.002050896,mongo-workload-16,mongo,default-scheduler
1779080458.271912993,postgre-workload-16,postgre,default-scheduler
1779080461.509318479,fusion-workload-16,fusion,default-scheduler
1779080464.788151420,fusion-v2-workload-16,fusion-v2,default-scheduler
1779080472.032276390,mongo-workload-17,mongo,default-scheduler
1779080477.278816029,postgre-workload-17,postgre,default-scheduler
1779080482.514721053,fusion-workload-17,fusion,default-scheduler
1779080487.770985555,fusion-v2-workload-17,fusion-v2,default-scheduler
1779080492.009398441,mongo-workload-18,mongo,default-scheduler
1779080497.269329714,postgre-workload-18,postgre,default-scheduler
1779080502.531851789,fusion-workload-18,fusion,default-scheduler
1779080508.783602261,fusion-v2-workload-18,fusion-v2,default-scheduler
1779080512.059889074,mongo-workload-19,mongo,default-scheduler
1779080518.303969174,postgre-workload-19,postgre,default-scheduler
1779080525.546868274,fusion-workload-19,fusion,default-scheduler
1779080531.804709814,fusion-v2-workload-19,fusion-v2,default-scheduler
1779080535.057031979,mongo-workload-20,mongo,default-scheduler
1779080539.323693058,postgre-workload-20,postgre,default-scheduler
1779080543.583334817,fusion-workload-20,fusion,default-scheduler
1779080548.874545639,fusion-v2-workload-20,fusion-v2,default-scheduler
1779080554.145737877,mongo-workload-21,mongo,default-scheduler
1779080559.385880828,postgre-workload-21,postgre,default-scheduler
1779080565.641695302,fusion-workload-21,fusion,default-scheduler
1779080569.884617611,fusion-v2-workload-21,fusion-v2,default-scheduler
1779080574.126393358,mongo-workload-22,mongo,default-scheduler
1779080580.365754247,postgre-workload-22,postgre,default-scheduler
1779080585.602391672,fusion-workload-22,fusion,default-scheduler
1779080588.845567285,fusion-v2-workload-22,fusion-v2,default-scheduler
1779080595.105359359,mongo-workload-23,mongo,default-scheduler
1779080600.329712119,postgre-workload-23,postgre,default-scheduler
1779080607.591263493,fusion-workload-23,fusion,default-scheduler
1779080610.830002091,fusion-v2-workload-23,fusion-v2,default-scheduler
1779080616.063487356,mongo-workload-24,mongo,default-scheduler
1779080622.318124490,postgre-workload-24,postgre,default-scheduler
1779080626.562218773,fusion-workload-24,fusion,default-scheduler
1779080631.786238657,fusion-v2-workload-24,fusion-v2,default-scheduler
1779080639.030446128,mongo-workload-25,mongo,default-scheduler
1779080641.283431349,postgre-workload-25,postgre,default-scheduler
1779080645.560296751,fusion-workload-25,fusion,default-scheduler
1779080650.828443732,fusion-v2-workload-25,fusion-v2,default-scheduler
1779080656.087432090,mongo-workload-26,mongo,default-scheduler
1779080659.338330307,postgre-workload-26,postgre,default-scheduler
1779080663.580387417,fusion-workload-26,fusion,default-scheduler
1779080668.827910930,fusion-v2-workload-26,fusion-v2,default-scheduler
1779080674.097348809,mongo-workload-27,mongo,default-scheduler
1779080680.337963548,postgre-workload-27,postgre,default-scheduler
1779080684.579094907,fusion-workload-27,fusion,default-scheduler
1779080689.808891629,fusion-v2-workload-27,fusion-v2,default-scheduler
1779080694.053220147,mongo-workload-28,mongo,default-scheduler
1779080698.292954469,postgre-workload-28,postgre,default-scheduler
1779080705.537304282,fusion-workload-28,fusion,default-scheduler
1779080710.818137239,fusion-v2-workload-28,fusion-v2,default-scheduler
1779080714.064300114,mongo-workload-29,mongo,default-scheduler
1779080719.309960384,postgre-workload-29,postgre,default-scheduler
1779080721.573512176,fusion-workload-29,fusion,default-scheduler
1779080725.822966425,fusion-v2-workload-29,fusion-v2,default-scheduler
1779080729.079313709,mongo-workload-30,mongo,default-scheduler
1779080734.330148556,postgre-workload-30,postgre,default-scheduler
1779080739.566936400,fusion-workload-30,fusion,default-scheduler
1779080744.833573923,fusion-v2-workload-30,fusion-v2,default-scheduler
1779080750.076016809,mongo-workload-31,mongo,default-scheduler
1779080754.308393069,postgre-workload-31,postgre,default-scheduler
1779080760.560444006,fusion-workload-31,fusion,default-scheduler
1779080762.809383821,fusion-v2-workload-31,fusion-v2,default-scheduler
1779080767.053268773,mongo-workload-32,mongo,default-scheduler
1779080771.290275582,postgre-workload-32,postgre,default-scheduler
1779080777.539334234,fusion-workload-32,fusion,default-scheduler
1779080782.791889038,fusion-v2-workload-32,fusion-v2,default-scheduler
1779080789.047122109,mongo-workload-33,mongo,default-scheduler
1779080795.291469321,postgre-workload-33,postgre,default-scheduler
1779080799.563908998,fusion-workload-33,fusion,default-scheduler
1779080804.800439046,fusion-v2-workload-33,fusion-v2,default-scheduler
1779080809.053682348,mongo-workload-34,mongo,default-scheduler
1779080813.314069546,postgre-workload-34,postgre,default-scheduler
1779080818.562542247,fusion-workload-34,fusion,default-scheduler
1779080822.812667997,fusion-v2-workload-34,fusion-v2,default-scheduler
1779080826.078601209,mongo-workload-35,mongo,default-scheduler
1779080830.332585291,postgre-workload-35,postgre,default-scheduler
1779080835.574405073,fusion-workload-35,fusion,default-scheduler
1779080839.824630369,fusion-v2-workload-35,fusion-v2,default-scheduler
1779080844.066354090,mongo-workload-36,mongo,default-scheduler
1779080846.308950728,postgre-workload-36,postgre,default-scheduler
1779080850.560541205,fusion-workload-36,fusion,default-scheduler
1779080854.807481203,fusion-v2-workload-36,fusion-v2,default-scheduler
1779080859.064879685,mongo-workload-37,mongo,default-scheduler
1779080862.306048637,postgre-workload-37,postgre,default-scheduler
1779080867.572694032,fusion-workload-37,fusion,default-scheduler
1779080871.817063934,fusion-v2-workload-37,fusion-v2,default-scheduler
1779080876.056519801,mongo-workload-38,mongo,default-scheduler
1779080882.304431716,postgre-workload-38,postgre,default-scheduler
1779080885.634134839,fusion-workload-38,fusion,default-scheduler
1779080891.892027285,fusion-v2-workload-38,fusion-v2,default-scheduler
1779080897.139132376,mongo-workload-39,mongo,default-scheduler
1779080902.387961712,postgre-workload-39,postgre,default-scheduler
1779080906.657135508,fusion-workload-39,fusion,default-scheduler
1779080911.912461852,fusion-v2-workload-39,fusion-v2,default-scheduler
1779080917.153400491,mongo-workload-40,mongo,default-scheduler
1779080921.402629892,postgre-workload-40,postgre,default-scheduler
1779080926.636087909,fusion-workload-40,fusion,default-scheduler
1779080929.890852618,fusion-v2-workload-40,fusion-v2,default-scheduler
1779080934.128037804,mongo-workload-41,mongo,default-scheduler
1779080938.377538971,postgre-workload-41,postgre,default-scheduler
1779080942.615289319,fusion-workload-41,fusion,default-scheduler
1779080948.863618992,fusion-v2-workload-41,fusion-v2,default-scheduler
1779080955.141594521,mongo-workload-42,mongo,default-scheduler
1779080959.384135450,postgre-workload-42,postgre,default-scheduler
1779080963.626585047,fusion-workload-42,fusion,default-scheduler
1779080969.888218053,fusion-v2-workload-42,fusion-v2,default-scheduler
1779080974.128264501,mongo-workload-43,mongo,default-scheduler
1779080978.400554063,postgre-workload-43,postgre,default-scheduler
1779080980.659368506,fusion-workload-43,fusion,default-scheduler
1779080984.904780560,fusion-v2-workload-43,fusion-v2,default-scheduler
1779080987.173319050,mongo-workload-44,mongo,default-scheduler
1779080990.447636061,postgre-workload-44,postgre,default-scheduler
1779080994.711957427,fusion-workload-44,fusion,default-scheduler
1779081000.953111966,fusion-v2-workload-44,fusion-v2,default-scheduler
1779081003.205774458,mongo-workload-45,mongo,default-scheduler
1779081008.465004360,postgre-workload-45,postgre,default-scheduler
1779081013.771173961,fusion-workload-45,fusion,default-scheduler
1779081018.033681842,fusion-v2-workload-45,fusion-v2,default-scheduler
1779081021.295161847,mongo-workload-46,mongo,default-scheduler
1779081026.538220944,postgre-workload-46,postgre,default-scheduler
1779081031.789061170,fusion-workload-46,fusion,default-scheduler
1779081037.026269027,fusion-v2-workload-46,fusion-v2,default-scheduler
1779081041.281005411,mongo-workload-47,mongo,default-scheduler
1779081047.516642794,postgre-workload-47,postgre,default-scheduler
1779081050.759609510,fusion-workload-47,fusion,default-scheduler
1779081054.991477946,fusion-v2-workload-47,fusion-v2,default-scheduler
1779081060.281704713,mongo-workload-48,mongo,default-scheduler
1779081065.551230793,postgre-workload-48,postgre,default-scheduler
1779081070.802227975,fusion-workload-48,fusion,default-scheduler
1779081076.037149616,fusion-v2-workload-48,fusion-v2,default-scheduler
1779081082.295692376,mongo-workload-49,mongo,default-scheduler
1779081086.556022475,postgre-workload-49,postgre,default-scheduler
1779081091.810950081,fusion-workload-49,fusion,default-scheduler
1779081098.057170988,fusion-v2-workload-49,fusion-v2,default-scheduler
1779081103.302805580,mongo-workload-50,mongo,default-scheduler
1779081108.535715216,postgre-workload-50,postgre,default-scheduler
