deploy_ts,pod_name,workload_type,scheduler
1779115586.714532088,mongo-workload-1,mongo,dqn-scheduler
1779115591.975269513,postgre-workload-1,postgre,dqn-scheduler
1779115597.211048727,fusion-workload-1,fusion,dqn-scheduler
1779115602.425955139,cpu-workload-1,cpu,dqn-scheduler
1779115607.646185611,mongo-workload-2,mongo,dqn-scheduler
1779115612.877491312,postgre-workload-2,postgre,dqn-scheduler
1779115618.105710095,fusion-workload-2,fusion,dqn-scheduler
1779115623.333445391,cpu-workload-2,cpu,dqn-scheduler
1779115628.555273492,mongo-workload-3,mongo,dqn-scheduler
1779115633.796041403,postgre-workload-3,postgre,dqn-scheduler
1779115639.038066256,fusion-workload-3,fusion,dqn-scheduler
1779115644.271486718,cpu-workload-3,cpu,dqn-scheduler
1779115649.522996163,mongo-workload-4,mongo,dqn-scheduler
1779115654.774798865,postgre-workload-4,postgre,dqn-scheduler
1779115659.995993505,fusion-workload-4,fusion,dqn-scheduler
1779115665.235527400,cpu-workload-4,cpu,dqn-scheduler
1779115670.469111646,mongo-workload-5,mongo,dqn-scheduler
1779115675.699512726,postgre-workload-5,postgre,dqn-scheduler
1779115680.930497768,fusion-workload-5,fusion,dqn-scheduler
1779115686.150600556,cpu-workload-5,cpu,dqn-scheduler
1779115691.392947174,mongo-workload-6,mongo,dqn-scheduler
1779115696.633364491,postgre-workload-6,postgre,dqn-scheduler
1779115701.855611533,fusion-workload-6,fusion,dqn-scheduler
1779115707.093817480,cpu-workload-6,cpu,dqn-scheduler
1779115712.345391144,mongo-workload-7,mongo,dqn-scheduler
1779115717.573564226,postgre-workload-7,postgre,dqn-scheduler
1779115722.810960149,fusion-workload-7,fusion,dqn-scheduler
1779115728.040427437,cpu-workload-7,cpu,dqn-scheduler
1779115733.265255139,mongo-workload-8,mongo,dqn-scheduler
1779115738.493743467,postgre-workload-8,postgre,dqn-scheduler
1779115743.760885312,fusion-workload-8,fusion,dqn-scheduler
1779115748.996998189,cpu-workload-8,cpu,dqn-scheduler
1779115754.224968942,mongo-workload-9,mongo,dqn-scheduler
1779115759.468751255,postgre-workload-9,postgre,dqn-scheduler
1779115764.703214531,fusion-workload-9,fusion,dqn-scheduler
1779115769.928738213,cpu-workload-9,cpu,dqn-scheduler
1779115775.186601481,mongo-workload-10,mongo,dqn-scheduler
1779115780.415704378,postgre-workload-10,postgre,dqn-scheduler
1779115785.646619998,fusion-workload-10,fusion,dqn-scheduler
1779115790.872912771,cpu-workload-10,cpu,dqn-scheduler
1779115796.104215570,mongo-workload-11,mongo,dqn-scheduler
1779115801.324886119,postgre-workload-11,postgre,dqn-scheduler
