deploy_ts,pod_name,workload_type,scheduler
1779112708.753253076,fusion-workload-1,fusion,dqn-scheduler
1779112713.981485444,fusion-workload-2,fusion,dqn-scheduler
1779112719.211281757,fusion-workload-3,fusion,dqn-scheduler
1779112724.426908977,fusion-workload-4,fusion,dqn-scheduler
1779112729.687587654,cpu-workload-5,cpu,dqn-scheduler
1779112734.934798053,mongo-workload-6,mongo,dqn-scheduler
1779112740.176742148,postgre-workload-7,postgre,dqn-scheduler
1779112745.397065844,fusion-workload-8,fusion,dqn-scheduler
1779112750.617973915,fusion-workload-9,fusion,dqn-scheduler
1779112755.852591422,fusion-workload-10,fusion,dqn-scheduler
1779112761.082168562,fusion-workload-11,fusion,dqn-scheduler
1779112766.304363509,cpu-workload-12,cpu,dqn-scheduler
1779112771.520553550,mongo-workload-13,mongo,dqn-scheduler
1779112776.751243473,postgre-workload-14,postgre,dqn-scheduler
1779112781.975241850,fusion-workload-15,fusion,dqn-scheduler
1779112787.234247588,fusion-workload-16,fusion,dqn-scheduler
1779112792.460505498,fusion-workload-17,fusion,dqn-scheduler
1779112797.689299893,fusion-workload-18,fusion,dqn-scheduler
1779112802.918579526,cpu-workload-19,cpu,dqn-scheduler
1779112808.187424392,mongo-workload-20,mongo,dqn-scheduler
1779112813.446999540,postgre-workload-21,postgre,dqn-scheduler
1779112818.710488730,fusion-workload-22,fusion,dqn-scheduler
1779112823.959746679,fusion-workload-23,fusion,dqn-scheduler
1779112829.190679697,fusion-workload-24,fusion,dqn-scheduler
1779112834.429132578,fusion-workload-25,fusion,dqn-scheduler
1779112839.660552178,cpu-workload-26,cpu,dqn-scheduler
1779112844.891627374,mongo-workload-27,mongo,dqn-scheduler
1779112850.134167273,postgre-workload-28,postgre,dqn-scheduler
1779112855.346728418,fusion-workload-29,fusion,dqn-scheduler
1779112860.595259014,fusion-workload-30,fusion,dqn-scheduler
1779112865.808458271,fusion-workload-31,fusion,dqn-scheduler
1779112871.038874385,fusion-workload-32,fusion,dqn-scheduler
1779112876.269047668,cpu-workload-33,cpu,dqn-scheduler
1779112881.512226098,mongo-workload-34,mongo,dqn-scheduler
1779112886.739012088,postgre-workload-35,postgre,dqn-scheduler
1779112891.970973989,fusion-workload-36,fusion,dqn-scheduler
1779112897.199809948,fusion-workload-37,fusion,dqn-scheduler
1779112902.456769933,fusion-workload-38,fusion,dqn-scheduler
1779112907.684578571,fusion-workload-39,fusion,dqn-scheduler
1779112912.914903494,cpu-workload-40,cpu,dqn-scheduler
1779112918.138148255,mongo-workload-41,mongo,dqn-scheduler
1779112923.364784553,postgre-workload-42,postgre,dqn-scheduler
1779112928.594576116,fusion-workload-43,fusion,dqn-scheduler
1779112933.850106268,fusion-workload-44,fusion,dqn-scheduler
1779112939.095129393,fusion-workload-45,fusion,dqn-scheduler
1779112944.336466245,fusion-workload-46,fusion,dqn-scheduler
1779112949.615946885,cpu-workload-47,cpu,dqn-scheduler
1779112954.879909928,mongo-workload-48,mongo,dqn-scheduler
1779112960.122165986,postgre-workload-49,postgre,dqn-scheduler
1779112965.356715857,fusion-workload-50,fusion,dqn-scheduler
1779112970.598267891,fusion-workload-51,fusion,dqn-scheduler
1779112975.831244500,fusion-workload-52,fusion,dqn-scheduler
1779112981.086323976,fusion-workload-53,fusion,dqn-scheduler
1779112986.324076941,cpu-workload-54,cpu,dqn-scheduler
1779112991.557343813,mongo-workload-55,mongo,dqn-scheduler
1779112996.785089719,postgre-workload-56,postgre,dqn-scheduler
1779113002.010631741,fusion-workload-57,fusion,dqn-scheduler
1779113007.265604348,fusion-workload-58,fusion,dqn-scheduler
1779113012.508887506,fusion-workload-59,fusion,dqn-scheduler
1779113017.764070350,fusion-workload-60,fusion,dqn-scheduler
1779113022.996519748,cpu-workload-61,cpu,dqn-scheduler
1779113028.233558834,mongo-workload-62,mongo,dqn-scheduler
1779113033.448711751,postgre-workload-63,postgre,dqn-scheduler
1779113038.673259931,fusion-workload-64,fusion,dqn-scheduler
1779113043.877633622,fusion-workload-65,fusion,dqn-scheduler
1779113049.101944023,fusion-workload-66,fusion,dqn-scheduler
1779113054.388270660,fusion-workload-67,fusion,dqn-scheduler
1779113059.615106258,cpu-workload-68,cpu,dqn-scheduler
1779113064.836037166,mongo-workload-69,mongo,dqn-scheduler
1779113070.068352602,postgre-workload-70,postgre,dqn-scheduler
1779113075.294045322,fusion-workload-71,fusion,dqn-scheduler
1779113080.536127275,fusion-workload-72,fusion,dqn-scheduler
1779113085.758219029,fusion-workload-73,fusion,dqn-scheduler
1779113090.989019593,fusion-workload-74,fusion,dqn-scheduler
1779113096.211260568,cpu-workload-75,cpu,dqn-scheduler
1779113101.434362249,mongo-workload-76,mongo,dqn-scheduler
1779113106.682222654,postgre-workload-77,postgre,dqn-scheduler
1779113111.987685928,fusion-workload-78,fusion,dqn-scheduler
1779113117.243229421,fusion-workload-79,fusion,dqn-scheduler
1779113122.487775403,fusion-workload-80,fusion,dqn-scheduler
1779113127.722692123,fusion-workload-81,fusion,dqn-scheduler
1779113132.949794443,cpu-workload-82,cpu,dqn-scheduler
1779113138.170182219,mongo-workload-83,mongo,dqn-scheduler
1779113143.402870545,postgre-workload-84,postgre,dqn-scheduler
1779113148.627727164,fusion-workload-85,fusion,dqn-scheduler
1779113153.853023589,fusion-workload-86,fusion,dqn-scheduler
1779113159.085923755,fusion-workload-87,fusion,dqn-scheduler
1779113164.325800922,fusion-workload-88,fusion,dqn-scheduler
1779113169.559333436,cpu-workload-89,cpu,dqn-scheduler
1779113174.792177078,mongo-workload-90,mongo,dqn-scheduler
1779113180.002009682,postgre-workload-91,postgre,dqn-scheduler
1779113185.236477779,fusion-workload-92,fusion,dqn-scheduler
1779113190.464454651,fusion-workload-93,fusion,dqn-scheduler
1779113195.717047412,fusion-workload-94,fusion,dqn-scheduler
1779113200.979810882,fusion-workload-95,fusion,dqn-scheduler
1779113206.199486473,cpu-workload-96,cpu,dqn-scheduler
1779113211.450477261,mongo-workload-97,mongo,dqn-scheduler
1779113216.660289976,postgre-workload-98,postgre,dqn-scheduler
1779113221.877941534,fusion-workload-99,fusion,dqn-scheduler
1779113227.124466119,fusion-workload-100,fusion,dqn-scheduler
1779113232.352050187,fusion-workload-101,fusion,dqn-scheduler
1779113237.574821035,fusion-workload-102,fusion,dqn-scheduler
1779113242.830959064,cpu-workload-103,cpu,dqn-scheduler
1779113248.047776400,mongo-workload-104,mongo,dqn-scheduler
1779113253.288356666,postgre-workload-105,postgre,dqn-scheduler
1779113258.517678465,fusion-workload-106,fusion,dqn-scheduler
1779113263.786308450,fusion-workload-107,fusion,dqn-scheduler
1779113269.019589622,fusion-workload-108,fusion,dqn-scheduler
1779113274.247556712,fusion-workload-109,fusion,dqn-scheduler
1779113279.469388584,cpu-workload-110,cpu,dqn-scheduler
1779113284.688284969,mongo-workload-111,mongo,dqn-scheduler
1779113289.915577498,postgre-workload-112,postgre,dqn-scheduler
1779113295.186750217,fusion-workload-113,fusion,dqn-scheduler
1779113300.402417209,fusion-workload-114,fusion,dqn-scheduler
1779113305.636553364,fusion-workload-115,fusion,dqn-scheduler
1779113310.871628295,fusion-workload-116,fusion,dqn-scheduler
1779113316.087130913,cpu-workload-117,cpu,dqn-scheduler
1779113321.330427210,mongo-workload-118,mongo,dqn-scheduler
1779113326.553080958,postgre-workload-119,postgre,dqn-scheduler
