deploy_ts,pod_name,workload_type,scheduler
1779109823.599808930,fusion-workload-1,fusion,dqn-scheduler
1779109828.853022767,fusion-workload-2,fusion,dqn-scheduler
1779109834.083906554,fusion-workload-3,fusion,dqn-scheduler
1779109839.394041342,fusion-workload-4,fusion,dqn-scheduler
1779109844.616180057,fusion-workload-5,fusion,dqn-scheduler
1779109849.839065187,fusion-workload-6,fusion,dqn-scheduler
1779109855.080574555,fusion-workload-7,fusion,dqn-scheduler
1779109860.310909271,fusion-workload-8,fusion,dqn-scheduler
1779109865.537063456,fusion-workload-9,fusion,dqn-scheduler
1779109870.764915124,fusion-workload-10,fusion,dqn-scheduler
1779109875.984556564,fusion-workload-11,fusion,dqn-scheduler
1779109881.212035059,fusion-workload-12,fusion,dqn-scheduler
1779109886.434149110,fusion-workload-13,fusion,dqn-scheduler
1779109891.667251258,fusion-workload-14,fusion,dqn-scheduler
1779109896.883960208,fusion-workload-15,fusion,dqn-scheduler
1779109902.125571270,fusion-workload-16,fusion,dqn-scheduler
1779109907.361254283,fusion-workload-17,fusion,dqn-scheduler
1779109912.606075627,fusion-workload-18,fusion,dqn-scheduler
1779109917.825193585,fusion-workload-19,fusion,dqn-scheduler
1779109923.074662138,fusion-workload-20,fusion,dqn-scheduler
1779109928.283008272,fusion-workload-21,fusion,dqn-scheduler
1779109933.507792638,fusion-workload-22,fusion,dqn-scheduler
1779109938.733242857,fusion-workload-23,fusion,dqn-scheduler
1779109943.956230973,fusion-workload-24,fusion,dqn-scheduler
1779109949.199217076,fusion-workload-25,fusion,dqn-scheduler
1779109954.446692687,fusion-workload-26,fusion,dqn-scheduler
1779109959.689496115,fusion-workload-27,fusion,dqn-scheduler
1779109964.917496130,fusion-workload-28,fusion,dqn-scheduler
1779109970.144456390,fusion-workload-29,fusion,dqn-scheduler
1779109975.369149099,fusion-workload-30,fusion,dqn-scheduler
1779109980.616132514,fusion-workload-31,fusion,dqn-scheduler
1779109985.858179821,fusion-workload-32,fusion,dqn-scheduler
1779109991.092876353,fusion-workload-33,fusion,dqn-scheduler
1779109996.316084790,fusion-workload-34,fusion,dqn-scheduler
1779110001.538000293,fusion-workload-35,fusion,dqn-scheduler
1779110006.747777796,fusion-workload-36,fusion,dqn-scheduler
1779110011.971482282,fusion-workload-37,fusion,dqn-scheduler
1779110017.214335723,fusion-workload-38,fusion,dqn-scheduler
1779110022.446797904,fusion-workload-39,fusion,dqn-scheduler
1779110027.670983083,fusion-workload-40,fusion,dqn-scheduler
1779110032.892344742,fusion-workload-41,fusion,dqn-scheduler
1779110038.123350981,fusion-workload-42,fusion,dqn-scheduler
1779110043.373898994,fusion-workload-43,fusion,dqn-scheduler
1779110048.592580248,fusion-workload-44,fusion,dqn-scheduler
1779110053.826620417,fusion-workload-45,fusion,dqn-scheduler
1779110059.056842911,fusion-workload-46,fusion,dqn-scheduler
1779110064.291237744,fusion-workload-47,fusion,dqn-scheduler
1779110069.567694213,fusion-workload-48,fusion,dqn-scheduler
1779110074.834318415,fusion-workload-49,fusion,dqn-scheduler
1779110080.065157084,fusion-workload-50,fusion,dqn-scheduler
1779110085.278366401,fusion-workload-51,fusion,dqn-scheduler
1779110090.496620692,fusion-workload-52,fusion,dqn-scheduler
1779110095.711040017,fusion-workload-53,fusion,dqn-scheduler
1779110100.929564758,fusion-workload-54,fusion,dqn-scheduler
1779110106.174637458,fusion-workload-55,fusion,dqn-scheduler
1779110111.393327161,fusion-workload-56,fusion,dqn-scheduler
1779110116.629602975,fusion-workload-57,fusion,dqn-scheduler
1779110121.878265640,fusion-workload-58,fusion,dqn-scheduler
1779110127.090846703,fusion-workload-59,fusion,dqn-scheduler
1779110132.312880447,fusion-workload-60,fusion,dqn-scheduler
1779110137.553500328,fusion-workload-61,fusion,dqn-scheduler
1779110142.774377193,fusion-workload-62,fusion,dqn-scheduler
1779110148.004623979,fusion-workload-63,fusion,dqn-scheduler
1779110153.245744277,fusion-workload-64,fusion,dqn-scheduler
1779110158.461082317,fusion-workload-65,fusion,dqn-scheduler
1779110163.690711071,fusion-workload-66,fusion,dqn-scheduler
1779110168.914610728,fusion-workload-67,fusion,dqn-scheduler
1779110174.144874662,fusion-workload-68,fusion,dqn-scheduler
1779110179.374406154,fusion-workload-69,fusion,dqn-scheduler
1779110184.592205250,fusion-workload-70,fusion,dqn-scheduler
1779110189.847510302,fusion-workload-71,fusion,dqn-scheduler
1779110195.096257459,fusion-workload-72,fusion,dqn-scheduler
1779110200.329727332,fusion-workload-73,fusion,dqn-scheduler
1779110205.544627463,fusion-workload-74,fusion,dqn-scheduler
1779110210.772217361,fusion-workload-75,fusion,dqn-scheduler
1779110216.011964537,fusion-workload-76,fusion,dqn-scheduler
1779110221.231332926,fusion-workload-77,fusion,dqn-scheduler
1779110226.450924412,fusion-workload-78,fusion,dqn-scheduler
1779110231.694089561,fusion-workload-79,fusion,dqn-scheduler
1779110236.926221691,fusion-workload-80,fusion,dqn-scheduler
1779110242.139892941,fusion-workload-81,fusion,dqn-scheduler
1779110247.386642857,fusion-workload-82,fusion,dqn-scheduler
1779110252.639317048,fusion-workload-83,fusion,dqn-scheduler
1779110257.869322236,fusion-workload-84,fusion,dqn-scheduler
1779110263.106957687,fusion-workload-85,fusion,dqn-scheduler
1779110268.324349378,fusion-workload-86,fusion,dqn-scheduler
1779110273.558408193,fusion-workload-87,fusion,dqn-scheduler
1779110278.787142207,fusion-workload-88,fusion,dqn-scheduler
1779110284.017411015,fusion-workload-89,fusion,dqn-scheduler
1779110289.263410533,fusion-workload-90,fusion,dqn-scheduler
1779110294.475556527,fusion-workload-91,fusion,dqn-scheduler
1779110299.720945758,fusion-workload-92,fusion,dqn-scheduler
1779110304.973525836,fusion-workload-93,fusion,dqn-scheduler
1779110310.202016144,fusion-workload-94,fusion,dqn-scheduler
1779110315.429736798,fusion-workload-95,fusion,dqn-scheduler
1779110320.677402948,fusion-workload-96,fusion,dqn-scheduler
1779110325.894145347,fusion-workload-97,fusion,dqn-scheduler
1779110331.138810829,fusion-workload-98,fusion,dqn-scheduler
1779110336.352355944,fusion-workload-99,fusion,dqn-scheduler
1779110341.588606098,fusion-workload-100,fusion,dqn-scheduler
1779110346.827101364,fusion-workload-101,fusion,dqn-scheduler
1779110352.074861033,fusion-workload-102,fusion,dqn-scheduler
1779110357.307615120,fusion-workload-103,fusion,dqn-scheduler
1779110362.613513851,fusion-workload-104,fusion,dqn-scheduler
1779110367.831865454,fusion-workload-105,fusion,dqn-scheduler
1779110373.082754007,fusion-workload-106,fusion,dqn-scheduler
1779110378.304538066,fusion-workload-107,fusion,dqn-scheduler
1779110383.535603643,fusion-workload-108,fusion,dqn-scheduler
1779110388.763932994,fusion-workload-109,fusion,dqn-scheduler
1779110393.980847369,fusion-workload-110,fusion,dqn-scheduler
1779110399.221114218,fusion-workload-111,fusion,dqn-scheduler
1779110404.440364188,fusion-workload-112,fusion,dqn-scheduler
1779110409.666590730,fusion-workload-113,fusion,dqn-scheduler
1779110414.907432546,fusion-workload-114,fusion,dqn-scheduler
1779110420.127729808,fusion-workload-115,fusion,dqn-scheduler
1779110425.383910211,fusion-workload-116,fusion,dqn-scheduler
1779110430.609486228,fusion-workload-117,fusion,dqn-scheduler
1779110435.828879905,fusion-workload-118,fusion,dqn-scheduler
1779110441.060360566,fusion-workload-119,fusion,dqn-scheduler
