snapshot_ts,pod_name,node_name,phase,start_time
1779119746,cpu-workload-1,node4,Failed,2026-05-18T15:55:38Z
1779119746,fusion-workload-1,node4,Succeeded,2026-05-18T15:55:30Z
1779119746,fusion-workload-2,,Pending,
1779119746,mongo-workload-1,node4,Succeeded,2026-05-18T15:55:17Z
1779119746,mongo-workload-2,node4,Running,2026-05-18T15:55:43Z
1779119746,postgre-workload-1,node4,Succeeded,2026-05-18T15:55:26Z
1779119746,postgre-workload-2,,Pending,
1779119776,cpu-workload-1,node4,Failed,2026-05-18T15:55:38Z
1779119776,cpu-workload-2,node4,Failed,2026-05-18T15:56:05Z
1779119776,cpu-workload-3,node3,Failed,2026-05-18T15:56:06Z
1779119776,fusion-workload-1,node4,Succeeded,2026-05-18T15:55:30Z
1779119776,fusion-workload-2,node4,Succeeded,2026-05-18T15:55:58Z
1779119776,fusion-workload-3,,Pending,
1779119776,mongo-workload-1,node4,Succeeded,2026-05-18T15:55:17Z
1779119776,mongo-workload-2,node4,Succeeded,2026-05-18T15:55:43Z
1779119776,mongo-workload-3,node4,Succeeded,2026-05-18T15:56:09Z
1779119776,mongo-workload-4,node4,Running,2026-05-18T15:56:14Z
1779119776,postgre-workload-1,node4,Succeeded,2026-05-18T15:55:26Z
1779119776,postgre-workload-2,node4,Succeeded,2026-05-18T15:55:51Z
1779119776,postgre-workload-3,,Pending,
1779119776,postgre-workload-4,,Pending,
1779119807,cpu-workload-1,node4,Failed,2026-05-18T15:55:38Z
1779119807,cpu-workload-2,node4,Failed,2026-05-18T15:56:05Z
1779119807,cpu-workload-3,node3,Failed,2026-05-18T15:56:06Z
1779119807,cpu-workload-4,node4,Failed,2026-05-18T15:56:32Z
1779119807,cpu-workload-5,node1,Running,2026-05-18T15:56:42Z
1779119807,fusion-workload-1,node4,Succeeded,2026-05-18T15:55:30Z
1779119807,fusion-workload-2,node4,Succeeded,2026-05-18T15:55:58Z
1779119807,fusion-workload-3,,Pending,
1779119807,fusion-workload-4,node4,Succeeded,2026-05-18T15:56:26Z
1779119807,fusion-workload-5,,Pending,
1779119807,mongo-workload-1,node4,Succeeded,2026-05-18T15:55:17Z
1779119807,mongo-workload-2,node4,Succeeded,2026-05-18T15:55:43Z
1779119807,mongo-workload-3,node4,Succeeded,2026-05-18T15:56:09Z
1779119807,mongo-workload-4,node4,Succeeded,2026-05-18T15:56:14Z
1779119807,mongo-workload-5,node4,Succeeded,2026-05-18T15:56:36Z
1779119807,mongo-workload-6,,Pending,
1779119807,postgre-workload-1,node4,Succeeded,2026-05-18T15:55:26Z
1779119807,postgre-workload-2,node4,Succeeded,2026-05-18T15:55:51Z
1779119807,postgre-workload-3,,Pending,
1779119807,postgre-workload-4,node4,Succeeded,2026-05-18T15:56:21Z
1779119807,postgre-workload-5,node4,Running,2026-05-18T15:56:43Z
1779119837,cpu-workload-1,node4,Failed,2026-05-18T15:55:38Z
1779119837,cpu-workload-2,node4,Failed,2026-05-18T15:56:05Z
1779119837,cpu-workload-3,node3,Failed,2026-05-18T15:56:06Z
1779119837,cpu-workload-4,node4,Failed,2026-05-18T15:56:32Z
1779119837,cpu-workload-5,node1,Failed,2026-05-18T15:56:42Z
1779119837,cpu-workload-6,node4,Failed,2026-05-18T15:57:04Z
1779119837,fusion-workload-1,node4,Succeeded,2026-05-18T15:55:30Z
1779119837,fusion-workload-2,node4,Succeeded,2026-05-18T15:55:58Z
1779119837,fusion-workload-3,,Pending,
1779119837,fusion-workload-4,node4,Succeeded,2026-05-18T15:56:26Z
1779119837,fusion-workload-5,,Pending,
1779119837,fusion-workload-6,node4,Succeeded,2026-05-18T15:56:58Z
1779119837,mongo-workload-1,node4,Succeeded,2026-05-18T15:55:17Z
1779119837,mongo-workload-2,node4,Succeeded,2026-05-18T15:55:43Z
1779119837,mongo-workload-3,node4,Succeeded,2026-05-18T15:56:09Z
1779119837,mongo-workload-4,node4,Succeeded,2026-05-18T15:56:14Z
1779119837,mongo-workload-5,node4,Succeeded,2026-05-18T15:56:36Z
1779119837,mongo-workload-6,node4,Succeeded,2026-05-18T15:56:48Z
1779119837,mongo-workload-7,node4,Succeeded,2026-05-18T15:57:08Z
1779119837,postgre-workload-1,node4,Succeeded,2026-05-18T15:55:26Z
1779119837,postgre-workload-2,node4,Succeeded,2026-05-18T15:55:51Z
1779119837,postgre-workload-3,,Pending,
1779119837,postgre-workload-4,node4,Succeeded,2026-05-18T15:56:21Z
1779119837,postgre-workload-5,node4,Succeeded,2026-05-18T15:56:43Z
1779119837,postgre-workload-6,node4,Succeeded,2026-05-18T15:56:53Z
1779119837,postgre-workload-7,node4,Running,2026-05-18T15:57:15Z
1779119867,cpu-workload-1,node4,Failed,2026-05-18T15:55:38Z
1779119867,cpu-workload-2,node4,Failed,2026-05-18T15:56:05Z
1779119867,cpu-workload-3,node3,Failed,2026-05-18T15:56:06Z
1779119867,cpu-workload-4,node4,Failed,2026-05-18T15:56:32Z
1779119867,cpu-workload-5,node1,Failed,2026-05-18T15:56:42Z
1779119867,cpu-workload-6,node4,Failed,2026-05-18T15:57:04Z
1779119867,cpu-workload-7,node4,Failed,2026-05-18T15:57:27Z
1779119867,cpu-workload-8,,Pending,
1779119867,fusion-workload-1,node4,Succeeded,2026-05-18T15:55:30Z
1779119867,fusion-workload-2,node4,Succeeded,2026-05-18T15:55:58Z
1779119867,fusion-workload-3,,Pending,
1779119867,fusion-workload-4,node4,Succeeded,2026-05-18T15:56:26Z
1779119867,fusion-workload-5,node4,Running,2026-05-18T15:57:42Z
1779119867,fusion-workload-6,node4,Succeeded,2026-05-18T15:56:58Z
